D00383	CHEMBL1519 CHEMBL2079671
D04031	CHEMBL77305
D00294	CHEMBL181
D00217	CHEMBL112
D00027	CHEMBL566
D03805	CHEMBL273910
D03735	CHEMBL274185
D03756	CHEMBL3707361 CHEMBL558810
D00049	CHEMBL573
D00421	CHEMBL1168 CHEMBL1416376
D01240	CHEMBL1614
D04966	CHEMBL1431
D00160	CHEMBL1046
D00231	CHEMBL12856
D00333	CHEMBL182
D00505	CHEMBL1200895
D00185	CHEMBL193482
D02731	CHEMBL2106480
D03760	CHEMBL2107131 CHEMBL287218
D00530	CHEMBL1521
D01811	CHEMBL27577
D01688	CHEMBL56337
D01097	CHEMBL2105029
D02562	CHEMBL1201142
D00455	CHEMBL1503
D00437	CHEMBL193
D02008	CHEMBL779
D00670	CHEMBL1678
D01370	CHEMBL1619
D00131	CHEMBL964
D00969	CHEMBL599
D00394	CHEMBL644
D01275	CHEMBL359744 CHEMBL543353
D03784	CHEMBL2105015
D00494	CHEMBL643
D02166	CHEMBL1417019
D00995	CHEMBL54126
D00752	CHEMBL1456
D00184	CHEMBL386389
D00475	CHEMBL897
D03822	CHEMBL636
D00055	CHEMBL1235017
D00218	CHEMBL20
D01180	CHEMBL1200907
D01747	CHEMBL1200976
D00902	CHEMBL193303 CHEMBL222813
D00371	CHEMBL190
D00622	CHEMBL3039596
D00188	CHEMBL1042 CHEMBL1365250 CHEMBL432780
D00656	CHEMBL1577
D00148	CHEMBL520156
D00038	CHEMBL541
D03807	CHEMBL10413
D02559	CHEMBL18116
D01122	CHEMBL2106254
D00186	CHEMBL8
D00418	CHEMBL802
D00623	CHEMBL1200534
D01718	CHEMBL259972
D00279	CHEMBL565
D00562	CHEMBL1518
D02356	CHEMBL6966
D00963	CHEMBL1200374
D05341	CHEMBL82293
D03823	CHEMBL1243298
D03736	CHEMBL103667
D00549	CHEMBL526
D00563	CHEMBL654
D00900	CHEMBL1200340
D00227	CHEMBL1370561
D01977	CHEMBL939
D01667	CHEMBL2106126
D00536	CHEMBL1094
D01325	CHEMBL365795
D00546	CHEMBL1200733
D00887	CHEMBL393220
D03716	CHEMBL1206690
D00045	CHEMBL477
D00762	CHEMBL1200862
D00050	CHEMBL1534
D00145	CHEMBL22
