hsa:8940	O95985 A0A024R1C2
hsa:2043	P54764 A0A024R452
hsa:30833	Q8TCD5 V9HWF3
hsa:91	P36896
hsa:128	P11766 Q6IRT1
hsa:3716	P23458 Q6P669
hsa:6300	P53778
hsa:51292	Q9P2T1
hsa:2049	P54753
hsa:8435	O75908
hsa:51004	Q9Y2Z9
hsa:1557	P33261
hsa:1022	P50613 A0A0S2Z3F9
hsa:2321	P17948 L7RSL3
hsa:1571	P05181
hsa:5604	Q02750 A4QPA9
hsa:94	P37023 A0A0S2Z310
hsa:5500	P62140 V9HW04
hsa:7378	Q16831 B4DND0
hsa:3416	P14735
hsa:1595	Q16850 A0A0C4DFL7
hsa:1969	P29317 A0A024QZA8
hsa:1033	Q16667
hsa:5836	P06737
hsa:1537	P08574
hsa:109	O60266
hsa:4058	P29376
hsa:8398	O60733
hsa:3645	P14616
hsa:4594	P22033 A0A024RD82 B2R6K1
hsa:5143	Q08493 Q32MM7 O43849
hsa:134510	Q8WVY7
hsa:2339	P49354
hsa:5547	P42785 A0A024R5L0
hsa:54600	O60656 Q5DSZ5
hsa:57176	Q5ST30 B4E0K6 B4DG77
hsa:2326	Q01740 A0A024R934 B2RCG5
hsa:11330	Q99895
hsa:766	P43166
hsa:5837	P11217
hsa:5053	P00439 A0A024RBG4
hsa:5138	O00408 Q8IW54
hsa:670	Q86WA6 Q49AI2
hsa:27032	P98194
hsa:3295	P51659 A0A0S2Z4J1 B2R659
hsa:84695	P58215
hsa:225689	Q8TD08
hsa:4759	Q9Y3R4
hsa:5319	P04054
hsa:1021	Q00534
hsa:5646	P35030
hsa:8836	Q92820
hsa:2595	Q8TET4
hsa:4915	Q16620 Q5VWE5 Q548C2
hsa:34	P11310 A0A0S2Z366
hsa:1549	P20853
hsa:9563	O95479
hsa:4048	P09960 A0A140VK27
hsa:10279	Q9NQE7
hsa:55775	Q9NUW8 A0A024R6L5 B3KN41
hsa:55512	Q9NY59 A8K0T6
hsa:5151	O60658
hsa:151531	O95045 A0A0S2Z634
hsa:5444	P27169
hsa:240	P09917
hsa:23236	Q9NQ66
hsa:29920	Q96C36 A0A0S2Z5U6
hsa:79001	Q9BQB6 A0A0S2Z6I4
hsa:35	P16219 E5KSD5
hsa:22954	Q13049 A0A024R843
hsa:5045	P09958 A0A024RC70
hsa:1543	P04798 A0N0X8
hsa:7957	O95278
hsa:50	Q99798
hsa:51	Q15067
hsa:5537	O00743 A0A024R861
hsa:50940	Q9HCR9
hsa:8192	Q16740
hsa:7006	P42680
hsa:4881	P16066 A0A140VJE6
hsa:1576	P08684 Q6GRK0
hsa:7015	O14746
hsa:5532	P16298
hsa:1025	P50750 A0A024R880
hsa:3283	P14060
hsa:761	P07451 V9HWA3
hsa:6652	Q00796
hsa:28972	Q9Y6A9 X6R2S6
hsa:2241	P16591 W0S0X4
hsa:7156	Q13472
hsa:51172	Q9UK23
hsa:64499	P20231 A0A140VJT7
hsa:2242	P07332 A0A024RC92
hsa:2639	Q92947 A0A024R7F9
hsa:1583	P05108 A0A0S2Z3R3
hsa:5169	O14638
hsa:4552	Q9UBK8
hsa:7294	P42681
hsa:1610	P14920 A0A024RBI1
hsa:760	P00918 V9HW21
hsa:9023	O95992
hsa:260293	Q8N118
hsa:8399	O15496
hsa:55811	Q96PN6 A0A0K0K1J8
hsa:1725	P49366 A0A024R7D0
hsa:5333	P51178 A8K8F9
hsa:10667	O95363
hsa:2264	P22455
hsa:4191	P40926 A0A024R4K3 B3KTM1
hsa:64600	Q9BZM2
hsa:5052	Q06830
hsa:54658	P22309 Q5DT03
hsa:4921	Q16832 A0A024R906
hsa:635	Q93088 V9HWA4
hsa:2950	P09211 V9HWE9
hsa:84171	Q96JB6
hsa:51601	Q9Y234
hsa:3643	P06213
hsa:32	O00763
hsa:191	P23526
hsa:7364	P16662
hsa:3291	P80365
hsa:64087	Q9HCC0 A0A140VK29
hsa:64802	Q9HAN9 A0A024R4E1
hsa:64902	Q9BYV1
hsa:4067	P07948 Q6NUK7 A8K379
hsa:218	P30838 Q6PKA6
hsa:5091	P11498 A0A024R5C5
hsa:2597	P04406 V9HVZ4
hsa:7153	P11388
hsa:5168	Q13822
hsa:2045	Q15375
hsa:7010	Q02763 Q59HG2
hsa:5149	Q13956
hsa:2046	P29322
hsa:2322	P36888
hsa:2193	Q9Y285 Q6IBR2
hsa:84812	Q9BRC7
hsa:2232	P22570 A0A0C4DFN8
hsa:54577	Q9HAW7 Q5DSZ7
hsa:1991	P08246
hsa:5598	Q13164 A0A024QZ20
hsa:1719	P00374 B0YJ76
hsa:4233	P08581 A0A024R759
hsa:5599	P45983 A1L4K2
hsa:29968	Q9Y617 A0A024R222
hsa:5423	P06746
hsa:2135	Q9UBQ6
hsa:242	O75342
hsa:10461	Q12866
hsa:84618	Q9BXI3
hsa:1548	P11509
hsa:1360	P15086
hsa:130399	Q8NER5
hsa:10295	O14874 A0A024QZA9
hsa:5320	P14555 A0A024RA96
hsa:5137	Q14123
hsa:513	P30049
hsa:51365	Q53H76
hsa:5148	P18545
hsa:495	P20648 Q658V6
hsa:5331	Q01970
hsa:5158	P35913
hsa:125	P00325 V9HW50
hsa:2235	P22830 Q7KZA3
hsa:5475	O14829 A0A024RBZ9
hsa:1844	Q05923
hsa:5408	P54317
hsa:51727	P30085
hsa:5742	P23219
hsa:6799	P50226
hsa:5597	Q16659
hsa:686	P43251
hsa:4145	P42679 F1T0G6
hsa:51181	Q7Z4W1
hsa:13	P22760
hsa:5531	P60510 A0A024R625
hsa:4942	P04181 A0A140VJQ4
hsa:1850	Q13202
hsa:2822	P80108
hsa:3932	P06239 A0A0S2Z3Y8
hsa:58190	Q9GZU7 A0A024R461
hsa:327	P13798 A0A024R2U9
hsa:2160	P03951
hsa:7054	P07101 P78428
hsa:1588	P11511 A0A024R5S8 Q8IYG4 Q8TCA4
hsa:5476	P10619
hsa:1555	P20813
hsa:5605	P36507
hsa:4837	P40261 Q6FH49
hsa:9641	Q14164
hsa:683	Q10588
hsa:4329	Q02252 A0A024R6G4
hsa:2050	P54760 Q541P7 Q96L35
hsa:11343	Q99685
hsa:8558	Q15131 B7Z537
hsa:763	P35218
hsa:116447	Q969P6 E5KMK7
hsa:31	Q13085 B2ZZ90
hsa:5596	P31152
hsa:54490	Q9BY64
hsa:5330	Q00722 Q59F77
hsa:5340	P00747
hsa:5608	P52564 A8K3Y2
hsa:91039	Q86TI2
hsa:3815	P10721 A0A024RDA0
hsa:5501	P36873 A0A024RBP2
hsa:444	Q12797
hsa:1018	Q00526
hsa:1019	P11802 A0A024RBB6
hsa:4311	P08473
hsa:9420	O75881 Q05C57
hsa:5600	Q15759
hsa:10747	O00187
hsa:645	P30043 V9HWI1
hsa:22978	P49902 A8K6K2
hsa:5146	P51160
hsa:5607	Q13163 A0A024R5Y2
hsa:2534	P06241
hsa:2280	P62942 Q0VDC6
hsa:759	P00915 V9HWE3
hsa:983	P06493
hsa:3906	P00709 A0A080YV01
hsa:5754	Q13308
hsa:5594	P28482 Q1HBJ4 Q499G7
hsa:1852	Q99956 Q6P9C2
hsa:4025	P22079
hsa:5645	P07478 Q5NV56 Q6PK75
hsa:1056	X6R868 O75612 Q86SR3 B4DSX9
hsa:55312	Q969G6 B2RDZ2
hsa:6098	P08922
hsa:3612	P29218 A0A024R830
hsa:2936	P00390 V9HW90
hsa:5328	P00749 Q59GZ8 A0A024QZM9
hsa:4758	Q99519 Q5JQI0
hsa:5095	P05165
hsa:1848	Q16828 A0A024RBC1
hsa:142679	Q8WTR2
hsa:767	P35219
hsa:5625	O43272
hsa:4953	P11926
hsa:9388	Q9Y5X9 A0A024R2B5
hsa:7046	P36897 Q5T7S2 B4DXN7
hsa:4143	Q00266
hsa:2155	P08709
hsa:1594	O15528
hsa:5144	Q08499 A0A140VJR0
hsa:9601	P13667 A0A090N8Y2
hsa:5338	O14939
hsa:85313	Q8WUA2
hsa:7366	P54855
hsa:353	P07741
hsa:9088	Q99640 Q0IJ49
hsa:239	P18054
hsa:9955	Q9Y663
hsa:3991	Q05469 A8K8W7
hsa:5332	Q15147
hsa:2048	P29323 Q6NVW1 Q4LE53
hsa:55359	Q6J9G0
hsa:501	P49419
hsa:1020	Q00535 A0A090N7W4
hsa:1200	O14773
hsa:129807	Q8WWR8 B3KR54
hsa:93650	Q9BZG2
hsa:3817	P20151 A0A024R4J4 B4DU77
hsa:3002	P10144 Q67BC3
hsa:10056	Q9NSD9
hsa:8555	O60729
hsa:3945	P07195 Q5U077
hsa:2806	P00505
hsa:1847	Q16690
hsa:5051	Q99487
hsa:1803	P27487
hsa:126	P00326
hsa:7367	O75795
hsa:50484	Q7LG56
hsa:5602	P53779 A0A286YF97
hsa:3034	P42357
hsa:1723	Q02127
hsa:55902	Q9NR19 Q6DKJ3
hsa:2261	P22607 Q0IJ44
hsa:5294	P48736 A0A024R720 A8K9G9
hsa:1376	P23786 A0A140VK13
hsa:270	P23109
hsa:2042	P29320 A0A140VJJ0 Q6P4R6
hsa:7535	P43403
hsa:5499	P62136
hsa:54	P13686 A0A024R7F8
hsa:5407	P54315
hsa:2766	P36959
hsa:131	P40394
hsa:3551	O14920
hsa:1178	Q05315
hsa:51207	Q6B8I1
hsa:3028	Q99714 A0A0S2Z410
hsa:216	P00352 V9HW83
hsa:1429	Q08257
hsa:2047	P54762
hsa:10846	Q9Y233 A0A1B1UZR0
hsa:7525	P07947
hsa:4835	P16083 B3KPX6
hsa:1436	P07333
hsa:219	P30837
hsa:11072	O95147 Q6FI36
hsa:27034	Q9UKU7
hsa:54576	Q9HAW9 Q5DSZ6
hsa:7372	P11172 A8K5J1
hsa:5152	O76083 A0A0S2Z4T6
hsa:51205	Q9NPH0 X5D289
hsa:7083	P04183
hsa:306	P12429
hsa:590	P06276
hsa:5494	P35813 A0A024R6A5
hsa:25824	P30044
hsa:128853	Q9H1R2
hsa:54677	Q9UKG9
hsa:476	P05023
hsa:3990	P11150 A6H8L5
hsa:80339	Q9NST1
hsa:90	Q04771 D3DPA4
hsa:9150	Q9Y5B0
hsa:5096	P05166
hsa:25796	O95336 A0A0K0K1K7
hsa:1581	P22680
hsa:3791	P35968 A0A024RD88
hsa:9647	P49593
hsa:11221	Q9Y6W6
hsa:18	P80404 X5D8S1
hsa:132	P55263
hsa:5336	P16885
hsa:4017	Q9Y4K0
hsa:1024	P49336
hsa:771	O43570
hsa:1675	P00746
hsa:613	P11274
hsa:50487	Q9NZ20
hsa:2746	P00367 E9KL48
hsa:63904	Q9H596
hsa:2185	Q14289
hsa:189	P21549
hsa:55	P15309
hsa:54579	P35504 Q5DSZ9
hsa:5624	P04070
hsa:9945	O94808 A0A0S2Z4X9 B3KMR8
hsa:3141	P50747
hsa:1445	P41240 B2R6Q4 A8K3B6
hsa:3702	Q08881
hsa:224	P51648
hsa:1806	Q12882
hsa:5351	Q02809 A0A024R4H0
hsa:7155	Q02880
hsa:51095	Q96Q11 A0A024R2H7
hsa:4916	Q16288 X5D2R1
hsa:1584	P15538 Q8TDD0
hsa:3067	P19113
hsa:3156	P04035 A0A024RAP2
hsa:284541	Q5TCH4
hsa:660	P51813
hsa:2882	Q96SL4
hsa:11238	Q9Y2D0 A0A024RBW9
hsa:2058	P07814
hsa:5743	P35354
hsa:5156	P16234
hsa:1572	P24903
hsa:1017	P24941 A0A024RB77
hsa:3001	P12544
hsa:5979	P07949 A0A024R7T2 Q9BTX6
hsa:3718	P52333 A0A024R7M7
hsa:112	O43306
hsa:2342	P49356
hsa:4860	P00491 V9HWH6
hsa:63036	P08217
hsa:4282	P14174 I4AY87
hsa:10327	P14550 V9HWI0
hsa:8529	P78329
hsa:5445	Q15165 A0A0J9YYG4
hsa:2260	P11362
hsa:4200	P23368
hsa:834	P29466 A8K249
hsa:8556	Q9UNH5 Q59EF4
hsa:5495	O75688
hsa:84706	Q8TD30 A0A024R6R2
hsa:1846	Q13115
hsa:1559	P11712 S5RV20
hsa:3615	P12268
hsa:54578	P19224 Q5DSZ8
hsa:3033	Q16836
hsa:5538	P50897
hsa:6646	P35610
hsa:54878	Q6V1X1 A0A024R5Z6 A8K4U2
hsa:1582	Q9UNU6
hsa:8854	O94788
hsa:1267	P09543
hsa:6713	Q14534 Q9UNR6 Q5HYI4
hsa:5603	O15264 A0A024RD04
hsa:2356	Q05932
hsa:1645	Q04828
hsa:6768	Q9Y5Y6
hsa:2582	Q14376
hsa:2044	P54756 B7ZKJ3 Q59FT4
hsa:5140	Q13370 A7E2E5
hsa:7172	P51580 A0A024QZW0
hsa:8972	O43451
hsa:10924	Q92484
hsa:113	P51828 Q86YI0
hsa:354	P07288 Q546G3
hsa:26279	Q9UNK4
hsa:5447	P16435
hsa:5530	Q08209 A0A0S2Z4C6
hsa:5650	P49862 A0A024R4H6 B4DHX9
hsa:657	P36894
hsa:3712	P26440 A0A0A0MT83
hsa:5515	P67775 B3KUN1
hsa:765	P23280 B4DUH8
hsa:5337	Q13393 Q59EA4
hsa:2161	P00748 Q8IZZ5
hsa:7299	P14679 L8B082
hsa:2548	P10253
hsa:52	P24666 Q59EH3
hsa:29941	Q6P5Z2 A0A024R8D6
hsa:84152	Q9UD71 B3KVQ9
hsa:1585	P19099
hsa:5422	P09884
hsa:1544	P05177
hsa:1621	P09172
hsa:57016	O60218
hsa:7453	P23381 A0A024R6K8
hsa:10858	Q9Y6A2
hsa:223	P49189 B9EKV4
hsa:5606	P46734 Q6FI23
hsa:7365	P36537
hsa:150290	Q8NEJ0 A0A024R1L2
hsa:4190	P40925 V9HWF2
hsa:1849	Q16829
hsa:84532	Q9NUB1
hsa:4353	P05164
hsa:5860	P09417 A0A140VKA9
hsa:1363	P16870
hsa:2638	P02774
hsa:54657	P22310
hsa:5470	O14830
hsa:1553	Q16696
hsa:132160	Q96MI6
hsa:23035	Q6ZVD8
hsa:1545	Q16678 Q53TK1
hsa:25	P00519 A0A024R8E2 Q59FK4
hsa:1432	Q16539 L7RSM2
hsa:51302	Q9NYL5
hsa:53	P11117
hsa:5657	P24158
hsa:5335	P19174 Q4LE43
hsa:6610	O60906
hsa:2064	P04626 X5DNK3
hsa:5142	Q07343 X5DNX5
hsa:93	Q13705
hsa:54659	P35503 Q5DT01
hsa:1636	P12821 B4DKH4
hsa:5601	P45984
hsa:1890	P19971 E5KRG5 B2RBL3
hsa:1374	P50416 A0A024R5F4 Q8WZ48 B2RAQ8
hsa:3480	P08069
hsa:5321	P47712
hsa:3035	P12081
hsa:1586	P05093 Q1HB44
hsa:5595	P27361 L7RXH5
hsa:4486	Q04912
hsa:586	P54687 A0A024RAV0
hsa:6416	P45985
hsa:5406	P16233
hsa:279	P04746 Q53F26
hsa:8622	O95263 B3KN77
hsa:5481	Q08752 E5KN55
hsa:4914	P04629
hsa:5159	P09619 Q59F04
hsa:2065	P21860
hsa:1573	P51589
hsa:695	Q06187 Q5JY90
hsa:5167	P22413
hsa:5651	P98073
hsa:1990	Q9UNI1
hsa:5050	Q15102 A0A024R0L6
hsa:10549	Q13162 V9HW63
hsa:30	P09110 A0A024R2M6
hsa:5523	Q06190
hsa:23239	O60346
hsa:1551	P24462
hsa:1558	P10632
hsa:7297	P29597 A0A024R7E4
hsa:54575	Q9HAW8 Q5DT02
hsa:1577	P20815
hsa:1147	O15111
hsa:10720	O75310
hsa:4023	P06858 A0A1B1RVA9
hsa:246	P16050
hsa:100	P00813 A0A0S2Z381
hsa:11202	O60259
hsa:23430	Q9BZJ3
hsa:56922	Q96RQ3 A0A0S2Z693
hsa:51251	Q9H0P0
hsa:1565	P10635 C1ID52 Q5Y7H2
hsa:1589	P08686 Q16874 Q08AG9
hsa:108	Q08462 Q71UM8
