D00604	CHEMBL1705
D00524	CHEMBL14
D02671	CHEMBL1088
D00627	CHEMBL1017
D00136	CHEMBL54
D03503	CHEMBL1201051
D00397	CHEMBL1200604
D05113	CHEMBL19019
D00560	CHEMBL1423
D00422	CHEMBL512
D01269	CHEMBL1200803
D03210	CHEMBL78535
D02237	CHEMBL2051958
D01024	CHEMBL1200914
D00332	CHEMBL940
D01717	CHEMBL1237102
D02721	CHEMBL494
D02070	CHEMBL1200851
D00684	CHEMBL1200405
D04375	CHEMBL420
D00528	CHEMBL113
D00499	CHEMBL448
D00437	CHEMBL193
D00095	CHEMBL679
D02910	CHEMBL633
D00498	CHEMBL560
D00769	CHEMBL1083385
D00845	CHEMBL1201163
D00522	CHEMBL1016
D00059	CHEMBL1009
D00394	CHEMBL644
D00513	CHEMBL500
D01713	CHEMBL1200491
D02357	CHEMBL1065
D00494	CHEMBL643
D03858	CHEMBL936
D00356	CHEMBL1051
D00113	CHEMBL517712
D02082	CHEMBL1200987
D01964	CHEMBL1200799
D00665	CHEMBL1659
D00049	CHEMBL573
D00371	CHEMBL190
D02147	CHEMBL714
D02359	CHEMBL785
D03165	CHEMBL1617204 CHEMBL1625141 CHEMBL1704964 CHEMBL493
D00540	CHEMBL1201027
D00525	CHEMBL550
D00139	CHEMBL416
D02327	CHEMBL1200392
D01236	CHEMBL1201108
D00715	CHEMBL1201024
D04040	CHEMBL813
D02356	CHEMBL6966
D00364	CHEMBL998
D05341	CHEMBL82293
D00306	CHEMBL465
D01126	CHEMBL1200381
D00514	CHEMBL778
D05938	CHEMBL658
D00563	CHEMBL654
D04979	CHEMBL1200959
D00227	CHEMBL1370561
D01965	CHEMBL24778
D03966	CHEMBL2106523
D00607	CHEMBL3184143
D02279	CHEMBL2105886
D03490	CHEMBL2105976
D00601	CHEMBL3186768
D00454	CHEMBL715
D00442	CHEMBL262746
D01745	CHEMBL219916
D00683	CHEMBL1441059
D00598	CHEMBL1691
D02149	CHEMBL1200818
D00419	CHEMBL606
D02374	CHEMBL1291
D00235	CHEMBL24
D00451	CHEMBL128
D00094	CHEMBL38
D02342	CHEMBL645
D00241	CHEMBL701
D04006	CHEMBL279898
D00440	CHEMBL653
D00687	CHEMBL1082607
D00987	CHEMBL1201087
D02358	CHEMBL13
D01699	CHEMBL1200935
D00411	CHEMBL603
D00688	CHEMBL1315867
D01692	CHEMBL1723
D00765	CHEMBL1200648
D00110	CHEMBL19151 CHEMBL370805
D00432	CHEMBL400326 CHEMBL649
D03879	CHEMBL926
D03621	CHEMBL648
D01441	CHEMBL1642
D01462	CHEMBL1257128
D00295	CHEMBL30
D00682	CHEMBL1237105
D01242	CHEMBL3833361
D01973	CHEMBL1201003
D02340	CHEMBL831
D00646	CHEMBL1382
D00480	CHEMBL1200750
D00606	CHEMBL1200494
D02725	CHEMBL1472830
D00465	CHEMBL1231
D00574	CHEMBL488
D00838	CHEMBL1685 CHEMBL3305515
D00790	CHEMBL908
D00675	CHEMBL1201032
D01782	CHEMBL3188034
D00380	CHEMBL782
D00676	CHEMBL1201150
D01828	CHEMBL1096
D02361	CHEMBL1201210
D01652	CHEMBL280164
D00666	CHEMBL1200795
D00234	CHEMBL296419
D00274	CHEMBL1729
D00779	CHEMBL1101
D02150	CHEMBL1256360
D02578	CHEMBL10878
D01891	CHEMBL2104194
D05312	CHEMBL1740794 CHEMBL656
D01390	CHEMBL1711
D00270	CHEMBL71
D01071	CHEMBL7728
D03442	CHEMBL1201355
D00775	CHEMBL744
D00521	CHEMBL17157
D01603	CHEMBL2110368
D00283	CHEMBL42
D00225	CHEMBL661
D02349	CHEMBL1201262
D03187	CHEMBL271896
D02566	CHEMBL1201257 CHEMBL21731
D01352	CHEMBL1200896
D02884	CHEMBL2104089
D00613	CHEMBL1026
D00180	CHEMBL495
D00503	CHEMBL567
D01297	CHEMBL1531864
D00410	CHEMBL934
D00673	CHEMBL1092473
D00400	CHEMBL1069
D00281	CHEMBL134
D00635	CHEMBL2356097
D02338	CHEMBL642
D00726	CHEMBL86
D00106	CHEMBL1139
D00609	CHEMBL1558
D01324	CHEMBL73451
D03365	CHEMBL3
D02614	CHEMBL493682
D00996	CHEMBL3183376
D00483	CHEMBL1671
D06056	CHEMBL76370
D00493	CHEMBL728
D00965	CHEMBL1274
D02354	CHEMBL1378
D00559	CHEMBL3182733
D00780	CHEMBL1200503 CHEMBL1347943 CHEMBL1587386
D01386	CHEMBL2146102
D01358	CHEMBL544428
D05246	CHEMBL1516
D00674	CHEMBL1200601
D05792	CHEMBL1263
D00954	CHEMBL1074 CHEMBL1389 CHEMBL2107797
D00443	CHEMBL1320310 CHEMBL1393 CHEMBL1473269
D01051	CHEMBL267930
D00232	CHEMBL1578
D00509	CHEMBL1200873
D03642	CHEMBL71685
D01295	CHEMBL43064
D05129	CHEMBL746
D01022	CHEMBL1200791
D00760	CHEMBL1237099
D00645	CHEMBL1095292
D00255	CHEMBL723
D00300	CHEMBL657
D00632	CHEMBL1200418
D00415	CHEMBL1185
D00079	CHEMBL548
D00336	CHEMBL472
D02278	CHEMBL2104640
D04716	CHEMBL1514
D04625	CHEMBL1201213
D00318	CHEMBL902
D01164	CHEMBL1112
D01103	CHEMBL3084748
D01118	CHEMBL1200970
D01332	CHEMBL1633
D00426	CHEMBL85
D03654	CHEMBL1346
D01871	CHEMBL1200426
D00542	CHEMBL931
D00520	CHEMBL1200406
D00523	CHEMBL1513
D01020	CHEMBL1201103
