hsa:1812	D00059,D00454,D00503,D00560
hsa:9934	D00528
hsa:5031	D00528
hsa:8843	D00726,D03365
hsa:6752	D02250
hsa:9283	D01441
hsa:3355	D00451,D00513,D00674,D00676,D00726,D01973
hsa:153	D00095,D00235,D00255,D00432,D00437,D00454,D00483,D00513,D00598,D00601,D00632,D01390,D02150,D02614
hsa:7201	D01925,D02007
hsa:3362	D00451,D00454,D00513,D00726
hsa:1814	D00136,D00454,D00503,D00559,D00560,D00726,D01164
hsa:3354	D00451,D00513,D00726,D01973
hsa:5032	D00528
hsa:1816	D00454,D00560
hsa:1910	D01227
hsa:10161	D00528
hsa:3269	D00300,D00364,D00454,D00480,D00520,D00665,D00666,D01324,D01332,D01713,D01717,D01782
hsa:2911	D00775
hsa:147	D00255,D00426,D00437,D00454,D00509,D00513,D00609,D01020,D01022,D01024,D01051,D01358,D01713,D01965,D02234
hsa:1241	D00411
hsa:5739	D00079,D00180,D01352
hsa:2912	D00775
hsa:9052	D00094
hsa:2913	D00775
hsa:4986	D00837
hsa:134	D00332,D00528
hsa:10800	D00411,D01828
hsa:56413	D00411
hsa:1129	D00397,D00454,D00765,D01871
hsa:4985	D00560
hsa:3351	D00415,D00451,D00513,D00675,D00676,D00726,D01973
hsa:3356	D00426,D00451,D00454,D00513,D00726,D01051,D01164,D01358,D01713
hsa:6753	D02250
hsa:23620	D01717
hsa:2916	D00775
hsa:5732	D00180,D00419
hsa:11255	D00300,D00318
hsa:3363	D01051,D01973
hsa:1815	D00454
hsa:2550	D00241
hsa:152	D00509,D00604,D00609,D01022,D03274,D04034
hsa:140	D00528
hsa:338442	D00049
hsa:1128	D00397,D00454,D00726,D01103,D01118,D01269,D01871
hsa:185	D00400,D00443,D00627
hsa:59340	D00300,D00318
hsa:2914	D00775
hsa:150	D00136,D00255,D00332,D00437,D00454,D00509,D00513,D00604,D00609,D01022,D01713,D03274,D04034
hsa:1909	D01227
hsa:3360	D00451,D00513,D00726,D01994
hsa:3350	D00451,D00513,D00726,D01051,D01164,D01973
hsa:1813	D00059,D00136,D00454,D00503,D00560,D00726,D00780,D00987,D01164,D01745
hsa:5733	D00419,D01891
hsa:6915	D00336
hsa:5029	D00528
hsa:151	D00136,D00255,D00437,D00454,D00509,D00513,D00604,D00609,D01022,D01713,D03274,D04034
hsa:136	D00371,D00528
hsa:6755	D02250
hsa:3361	D00451,D00513,D00726
hsa:1131	D00454,D01871
hsa:5030	D00528
hsa:57105	D00411
hsa:146	D00255,D00426,D00437,D00454,D00509,D00513,D00604,D00609,D01020,D01022,D01024,D01051,D01358,D01713,D01965,D02234
hsa:2915	D00775
hsa:135	D00528
hsa:2846	D00528
hsa:5731	D00180
hsa:3358	D00451,D00454,D00513,D00726,D01164
hsa:2918	D00775,D01346
hsa:4988	D00498,D00837
hsa:2917	D00775
hsa:1132	D00397,D00454,D01871
hsa:64805	D00528,D00769
hsa:3274	D00295,D00318,D00440,D00673,D01713
hsa:5737	D00356,D01352,D01964
hsa:155	D00255,D00432,D00437,D00454,D00483,D00513,D01390,D02150
hsa:222545	D01126
hsa:3352	D00415,D00451,D00513,D00675,D00676,D00726,D01973
hsa:148	D00095,D00255,D00426,D00437,D00454,D00503,D00509,D00513,D00609,D01020,D01022,D01024,D01051,D01358,D01713,D01965,D02234
hsa:3577	D00139,D00225,D00380,D00410,D00437,D00528,D00542
hsa:154	D00095,D00235,D00255,D00432,D00437,D00454,D00483,D00513,D00598,D00601,D00632,D00683,D00687,D00688,D01386,D01390,D02150
hsa:5028	D00528
hsa:3357	D00451,D00513,D00726,D01164,D01973
hsa:1133	D00454,D01871
