hsa:1241	Q15722
hsa:10161	P43657 B3KVQ5 A0A024RDT2
hsa:5029	P41231
hsa:3356	P28223
hsa:1816	P21918
hsa:3361	P47898 A4D2N2
hsa:150	P08913
hsa:3354	P28566
hsa:1132	P08173
hsa:185	P30556 Q53YY0
hsa:4988	P35372 G8XRH5
hsa:1815	P21917 A0A0G2JM26
hsa:1129	P08172 A4D1Q0 Q86SJ1 Q6SL56
hsa:2915	P41594
hsa:152	P18825 Q4W594
hsa:887	P32239
hsa:5031	Q15077 A0A024R5I9
hsa:3269	P35367
hsa:3360	Q13639
hsa:3362	P50406
hsa:5731	P34995
hsa:6915	P21731 Q05C92 Q0VAB0
hsa:146	P25100 B0ZBE0
hsa:153	P08588
hsa:6751	P30872 Q86SW9
hsa:338442	Q8TDS4
hsa:1131	P20309 A0A024R3S2
hsa:2911	Q13255 Q59HC2
hsa:11255	Q9Y5N1
hsa:554	P30518
hsa:2912	Q14416
hsa:2918	O00222
hsa:4986	P41145
hsa:6752	P30874
hsa:3352	P28221
hsa:134	P30542
hsa:64805	Q9H244 A8K7T1
hsa:8843	P49019
hsa:5732	P43116
hsa:6753	P32745
hsa:886	P32238
hsa:10800	Q9Y271 Q38Q91 Q38Q88
hsa:9283	O60883
hsa:155	P13945 A8KAG8
hsa:5028	P47900
hsa:1910	P24530
hsa:3355	P30939
hsa:2916	O15303
hsa:148	P35348
hsa:3351	P28222 X5D7I5 A8K215
hsa:1812	P21728
hsa:2550	Q9UBS5 A0A1U9X7R0 Q59HG8
hsa:147	P35368
hsa:1909	P25101
hsa:2913	Q14832 A4D1D0
hsa:2846	Q99677
hsa:2917	Q14831 B2R693 Q59G95
hsa:3350	P08908 Q5ZGX3 A8K5W4
hsa:5739	P43119
hsa:135	P29274 B3KVQ4 X5DNB4
hsa:5729	Q13258
hsa:4985	P41143
hsa:3358	P28335
hsa:222545	Q5T6X5
hsa:3577	P25024
hsa:5030	P51582
hsa:1813	P14416 A0A024R3C5
hsa:136	P29275
hsa:552	P37288 X5D2B0
hsa:5724	P25105
hsa:5737	P43088
hsa:154	P07550
hsa:3363	P34969
hsa:9934	Q15391 A5JUU3
hsa:5733	P43115
hsa:1268	P21554 S5TLS4
hsa:1128	P11229 Q53XZ3
hsa:4543	P48039
hsa:56413	Q9NPC1 B4E292
hsa:2914	Q14833 A1L4F9
hsa:9052	Q8NFJ5
hsa:23620	O95665
hsa:3357	P41595
hsa:59340	Q9H3N8
hsa:5032	Q96G91
hsa:140	P0DMS8
hsa:6010	P08100
hsa:3274	P25021
hsa:1814	P35462 X5D2G4 A8K8E4
hsa:6755	P35346
hsa:151	P18089
hsa:1133	P08912 A0A024R9I2
hsa:57105	Q9NS75 A4ZKH2 Q5KU17
hsa:1234	P51681 Q38L21
hsa:7201	P34981
