D00651	CHEMBL1201039
D00294	CHEMBL181
D00331	CHEMBL35
D00647	CHEMBL473
D00694	CHEMBL2096631
D02262	CHEMBL2359966
D00136	CHEMBL54
D01969	CHEMBL1256940
D00711	CHEMBL1714
D00560	CHEMBL1423
D00809	CHEMBL1200964
D00960	CHEMBL1399
D04790	CHEMBL1201134
D00392	CHEMBL695
D00537	CHEMBL220492
D00332	CHEMBL940
D01256	CHEMBL61593
D00530	CHEMBL1521
D00524	CHEMBL14
D00547	CHEMBL1200694
D00474	CHEMBL856
D00326	CHEMBL41
D00528	CHEMBL113
D00303	CHEMBL517
D02347	CHEMBL1201288
D00437	CHEMBL193
D00373	CHEMBL479
D00638	CHEMBL1200822
D00456	CHEMBL46
D00611	CHEMBL1237082
D02204	CHEMBL332524
D00759	CHEMBL1200641 CHEMBL264974
D00544	CHEMBL1341
D00617	CHEMBL1200326
D00354	CHEMBL741
D00708	CHEMBL1095
D00394	CHEMBL644
D01275	CHEMBL359744 CHEMBL543353
D00642	CHEMBL1200437
D01599	CHEMBL427216
D00629	CHEMBL475534
D02360	CHEMBL809
D00345	CHEMBL406
D01768	CHEMBL1200654
D00550	CHEMBL655
D00340	CHEMBL435
D00110	CHEMBL19151 CHEMBL370805
D00504	CHEMBL918
D00656	CHEMBL1577
D02261	CHEMBL3706390
D03991	CHEMBL2106155
D00418	CHEMBL802
D00477	CHEMBL605
D02356	CHEMBL6966
D00648	CHEMBL2355456
D02362	CHEMBL490
D01111	CHEMBL783
D02098	CHEMBL1200464
D02237	CHEMBL2051958
D00549	CHEMBL526
D00563	CHEMBL654
D00227	CHEMBL1370561
D00616	CHEMBL1697
D00607	CHEMBL3184143
D00536	CHEMBL1094
D00546	CHEMBL1200733
D00545	CHEMBL1256
D00709	CHEMBL1286
D00513	CHEMBL500
D01350	CHEMBL3184791
D00649	CHEMBL1398126
D00035	CHEMBL54922
D00252	CHEMBL108
D00451	CHEMBL128
D01799	CHEMBL2105083
D00618	CHEMBL1726
D03826	CHEMBL2105891
D02630	CHEMBL47050
D00765	CHEMBL1200648
D00464	CHEMBL568
D00548	CHEMBL681
D00798	CHEMBL1200916
D01242	CHEMBL3833361
D00658	CHEMBL1054
D06106	CHEMBL440
D00963	CHEMBL1200374
D00761	CHEMBL1739
D00480	CHEMBL1200750
D00553	CHEMBL1194
D04985	CHEMBL7413
D00319	CHEMBL1480
D00574	CHEMBL488
D00228	CHEMBL1113
D00552	CHEMBL278172
D00380	CHEMBL782
D01854	CHEMBL1603301
D00732	CHEMBL944
D01828	CHEMBL1096
D00619	CHEMBL1280
D02485	CHEMBL1200901
D00633	CHEMBL1557
D00234	CHEMBL296419
D05458	CHEMBL1574
D00274	CHEMBL1729
D02272	CHEMBL3707183
D00779	CHEMBL1101
D03878	CHEMBL344151
D00351	CHEMBL1324508 CHEMBL295698
D00639	CHEMBL1200606
D00771	CHEMBL1371
D00438	CHEMBL1428
D00775	CHEMBL744
D00521	CHEMBL17157
D01603	CHEMBL2110368
D00283	CHEMBL42
D00358	CHEMBL79
D00225	CHEMBL661
D02041	CHEMBL2130744
D00615	CHEMBL1200402
D00739	CHEMBL1201171
D00364	CHEMBL998
D02566	CHEMBL1201257 CHEMBL21731
D01287	CHEMBL1200749
D00741	CHEMBL1255654
D00704	CHEMBL591
D00738	CHEMBL1200440
D00293	CHEMBL12
D00593	CHEMBL1481 CHEMBL149223
D00816	CHEMBL1201156
D00329	CHEMBL968
D00740	CHEMBL1200841
D00499	CHEMBL448
D00338	CHEMBL970
D00631	CHEMBL1200382
D03037	CHEMBL3140370
D03450	CHEMBL1968477
D00219	CHEMBL1589
D03365	CHEMBL3
D00349	CHEMBL1648
D02092	CHEMBL1200788
D00195	CHEMBL369475
D00678	CHEMBL3186492
D00654	CHEMBL1763
D02088	CHEMBL1200773
D00538	CHEMBL750
D02086	CHEMBL541521
D00640	CHEMBL1201063
D00519	CHEMBL842
D01253	CHEMBL70418
D00495	CHEMBL1100
D00539	CHEMBL696
D00733	CHEMBL1086
D04999	CHEMBL796
D01243	CHEMBL1200586
D00533	CHEMBL1068
D02914	CHEMBL1200984
D00791	CHEMBL1448187
D01295	CHEMBL43064
D01071	CHEMBL7728
D00594	CHEMBL1272
D00760	CHEMBL1237099
D00512	CHEMBL16
D05453	CHEMBL542581
D01575	CHEMBL121663
D02461	CHEMBL1200936
D00367	CHEMBL781
D00650	CHEMBL1684
D00543	CHEMBL1257
D00336	CHEMBL472
D00379	CHEMBL817
D00735	CHEMBL1200478
D00823	CHEMBL1201082
D06172	CHEMBL1762
D05024	CHEMBL1534525
D02087	CHEMBL1200334
D00726	CHEMBL86
D01118	CHEMBL1200970
D00697	CHEMBL407
D03180	CHEMBL449
D00636	CHEMBL1083993
D03742	CHEMBL52440
D00831	CHEMBL1606
D05077	CHEMBL1075
D02173	CHEMBL1555 CHEMBL1555821
D00542	CHEMBL931
D00812	CHEMBL1696
D00335	CHEMBL1073
D00964	CHEMBL1444
