hsa:6324	Q07699
hsa:782	Q02641
hsa:3785	O43526
hsa:7225	Q9Y210
hsa:93589	Q7Z3S7
hsa:3765	Q92806
hsa:27094	Q9NPA1
hsa:6833	Q09428
hsa:9177	O95264
hsa:8913	O43497
hsa:27345	Q86W47
hsa:2742	P23416
hsa:781	P54289
hsa:785	O00305
hsa:3743	Q96RP8
hsa:8912	O95180 B3KQH9
hsa:6530	P23975 A0A024R6T9
hsa:2555	P47869 A0A024R9X6
hsa:3737	P16389
hsa:3756	O95259
hsa:3742	P17658
hsa:8911	Q9P0X4
hsa:3752	Q9UK17
hsa:55800	Q9NY72 A0A024R3H7
hsa:784	P54284
hsa:3780	Q92952
hsa:6337	P37088
hsa:55799	Q8IZS8
hsa:3775	O00180 A0A024R3T2
hsa:3741	P22460
hsa:3750	Q9NSA2
hsa:170572	Q8WXA8
hsa:57192	Q9GZU1
hsa:1080	P13569 A0A024R730
hsa:2897	P39086
hsa:1135	Q15822
hsa:3747	Q96PR1 A0A024RBA5
hsa:55584	Q9UGM1
hsa:83795	Q96T55
hsa:2893	P48058 Q1WWK6
hsa:6531	Q01959
hsa:3764	Q15842 A0A024RAV6
hsa:786	Q06432
hsa:3760	P48549
hsa:6331	Q14524 H9KVD2
hsa:1145	Q04844
hsa:9992	Q9Y6J6
hsa:285242	A5X5Y0
hsa:3781	Q9H2S1
hsa:8514	Q13303 A0A024R4E3
hsa:5025	Q99571
hsa:6335	Q15858
hsa:5027	Q99572
hsa:3755	Q9UIX4 Q86Y85
hsa:56479	Q9NR82
hsa:6340	P51170 A5X2V1
hsa:57657	Q9P1Z3
hsa:1139	P36544
hsa:6334	Q9UQD0 Q6B4S4
hsa:3779	Q16558
hsa:89822	Q96T54
hsa:3783	O15554
hsa:6263	Q15413
hsa:57053	Q9GZZ6
hsa:2901	Q16478
hsa:2890	P42261 Q59GL5
hsa:93107	Q8TDN1 Q547S7 Q32MC1
hsa:3738	P22001
hsa:2566	P18507
hsa:776	Q01668 Q59GD8
hsa:2561	P47870
hsa:773	O00555
hsa:9424	Q9Y257 B2RDS2
hsa:2743	P48167
hsa:3766	P78508
hsa:55503	Q9H1D0
hsa:90134	Q9NS40
hsa:1134	P02708 Q53SH4
hsa:2898	Q13002 A8K0H7 Q8IY40
hsa:6529	P30531 A0A024R2G0
hsa:3739	P22459
hsa:3753	P15382 Q6FHJ6 C7S316
hsa:5024	P56373
hsa:9311	Q9UHC3 A0A090N7X8
hsa:779	Q13698
hsa:6323	P35498
hsa:6338	P51168 B2R812
hsa:6328	Q9NY46
hsa:81033	Q9H252
hsa:50801	Q9NYG8 A0A024R5C7 Q2YDA1
hsa:8973	Q15825
hsa:200909	Q70Z44
hsa:56659	Q9HB14
hsa:6329	P35499
hsa:1137	P43681 Q59FV0 B4DK78
hsa:6339	P51172 A6NNF7
hsa:2563	O14764 A8K496
hsa:2554	P14867 A8K177
hsa:2567	Q99928
hsa:3745	Q14721
hsa:2905	Q14957 O15398
hsa:2892	P42263 Q17R51
hsa:6262	Q92736
hsa:3768	Q14500
hsa:169522	Q8TDN2
hsa:3790	Q9BQ31
hsa:3754	Q9H3M0
hsa:27133	Q8NCM2
hsa:3708	Q14643
hsa:3359	P46098 B4E398
hsa:2558	P31644
hsa:10060	O60706 A0A024RAV7
hsa:9312	Q92953
hsa:777	Q15878 Q59FG1
hsa:2564	P78334
hsa:3746	P48547 Q3KNS8
hsa:40	Q16515
hsa:3784	P51787 Q96AI9
hsa:6534	Q99884
hsa:3778	Q12791
hsa:3782	Q9UGI6 A0A0A0MQW9
hsa:51305	Q9NPC2 A0A024R9H3
hsa:3749	Q03721
hsa:26251	Q9UJ96
hsa:7881	Q14722
hsa:2900	Q16099 B2RAP6
hsa:3710	Q14573 A6H8K3 Q59ES2
hsa:3748	Q14003
hsa:6336	Q9Y5Y9
hsa:3757	Q12809 Q15BH2 A0A090N8Q0
hsa:6532	P31645 B2R7Y7
hsa:1141	P17787 Q5SXY3
hsa:2557	P48169 X5D7F5
hsa:59284	P62955
hsa:1144	Q07001
hsa:51802	Q9NY37
hsa:783	Q08289
hsa:3762	P48544
hsa:6326	Q99250
hsa:2903	Q12879 Q547U9
hsa:11254	Q9UN76 B2R8J1
hsa:116443	Q8TCU5
hsa:2562	P28472
hsa:116444	O60391 Q5F0I5
hsa:5026	Q93086
hsa:1136	P32297
hsa:2902	Q05586
hsa:2741	P23415
hsa:22953	Q9UBL9 Q32MC3
hsa:55879	Q9UN88
hsa:2899	Q13003
hsa:1138	P30532 Q6EWN4
hsa:9127	O15547
hsa:3772	Q99712
hsa:774	Q00975
hsa:2556	P34903
hsa:2895	O43424
hsa:2891	P42262
hsa:2904	Q13224
hsa:6332	Q01118
hsa:5310	P98161
hsa:11280	Q9UI33
hsa:3758	P48048 A8K432
hsa:3788	Q9ULS6
hsa:2906	O15399 Q59G17
hsa:5023	P51575
hsa:54207	P57789
hsa:2560	P18505 X5DNL6
hsa:56660	Q9HB15
hsa:10369	Q9Y698
hsa:778	O60840
hsa:3776	O95069 Q6ZW95
