D00898	CHEMBL1018
D00182	CHEMBL1162 CHEMBL2136460 CHEMBL266115
D00279	CHEMBL565
D00965	CHEMBL1274
D00327	CHEMBL1445 CHEMBL302870
D00067	CHEMBL1405
D02217	CHEMBL1116
D00554	CHEMBL1627464 CHEMBL691
D00187	CHEMBL1436587 CHEMBL1536 CHEMBL50241
D00577	CHEMBL411
D00129	CHEMBL297508 CHEMBL3351073 CHEMBL846
D00565	CHEMBL672
D00105	CHEMBL135
D00163	CHEMBL240597 CHEMBL2448878
D00443	CHEMBL1320310 CHEMBL1393 CHEMBL1473269
D01161	CHEMBL1358
D00506	CHEMBL40
D00040	CHEMBL112570 CHEMBL1867358
D01132	CHEMBL1657
D00316	CHEMBL464
D00954	CHEMBL1074 CHEMBL1389 CHEMBL2107797
D00312	CHEMBL2106240
D00462	CHEMBL1200436
D01115	CHEMBL1095097
D00143	CHEMBL253363 CHEMBL77462
D00246	CHEMBL1370 CHEMBL2110662
D00950	CHEMBL1074 CHEMBL1389 CHEMBL2107797
D00299	CHEMBL2106324 CHEMBL2356023
D01387	CHEMBL1200732
D04066	CHEMBL1575
D02367	CHEMBL1533
D00094	CHEMBL38
D01217	CHEMBL1200853
D00930	CHEMBL1200622
D00075	CHEMBL386630 CHEMBL67934
D00586	CHEMBL806
D01294	CHEMBL1200624
D00627	CHEMBL1017
D00211	CHEMBL374478
D00066	CHEMBL103
D00348	CHEMBL547
D00690	CHEMBL1161 CHEMBL290383
D00961	CHEMBL124881
D00730	CHEMBL127516
D00188	CHEMBL1042 CHEMBL1365250 CHEMBL432780
D00962	CHEMBL1200667
D01441	CHEMBL1642
D00596	CHEMBL843
D01689	CHEMBL1200865
D00951	CHEMBL717
D05341	CHEMBL82293
D00956	CHEMBL1200412
D00585	CHEMBL1276308 CHEMBL1987697
D00088	CHEMBL1092578 CHEMBL196519 CHEMBL389621
