hsa:6256	P19793 F1D8Q5 Q6P3U7
hsa:5914	P10276 Q6I9R7
hsa:6095	P35398
hsa:6097	P51449 Q6I9R9
hsa:5241	P06401
hsa:2103	O95718
hsa:9971	Q96RI1
hsa:2908	P04150 F1D8N4
hsa:190	P51843 F1D8P4
hsa:5465	Q07869 F1D8S4
hsa:367	P10275 Q9NUA2
hsa:5915	P10826
hsa:6257	P28702 Q5STP9
hsa:5468	P37231
hsa:3174	Q14541
hsa:2104	P62508 F1D8R5
hsa:5916	P13631 A8K3H3
hsa:6096	Q58EY0
hsa:4306	P08235 B0ZBF6
hsa:9970	Q14994
hsa:2099	P03372 G4XH65
hsa:8856	O75469
hsa:2101	P11474 Q569H8
hsa:6258	P48443 F1D8Q7
hsa:2100	Q92731 Q7LCB3
hsa:7421	P11473 F1D8P8
