./tflearnModels/bestModels//best_ImageNetInceptionV2_hsa:4128_adam_0.01_207296
Threshold	Accuracy	F-Score	Precision	Recall	TP	FP	TN	FN
0.999	0.42346938775510207	0.017391304347826087	1.0	0.008771929824561403	2	0	164	226
0.998	0.4260204081632653	0.025974025974025976	1.0	0.013157894736842105	3	0	164	225
0.997	0.4260204081632653	0.025974025974025976	1.0	0.013157894736842105	3	0	164	225
0.996	0.4260204081632653	0.025974025974025976	1.0	0.013157894736842105	3	0	164	225
0.995	0.43112244897959184	0.04291845493562232	1.0	0.021929824561403508	5	0	164	223
0.994	0.43112244897959184	0.04291845493562232	1.0	0.021929824561403508	5	0	164	223
0.993	0.43112244897959184	0.04291845493562232	1.0	0.021929824561403508	5	0	164	223
0.992	0.4387755102040816	0.06779661016949151	1.0	0.03508771929824561	8	0	164	220
0.991	0.4489795918367347	0.1	1.0	0.05263157894736842	12	0	164	216
0.99	0.4719387755102041	0.1686746987951807	1.0	0.09210526315789473	21	0	164	207
0.989	0.4744897959183674	0.176	1.0	0.09649122807017543	22	0	164	206
0.988	0.4744897959183674	0.176	1.0	0.09649122807017543	22	0	164	206
0.987	0.47959183673469385	0.1904761904761905	1.0	0.10526315789473684	24	0	164	204
0.986	0.4923469387755102	0.22568093385214008	1.0	0.12719298245614036	29	0	164	199
0.985	0.49489795918367346	0.23255813953488372	1.0	0.13157894736842105	30	0	164	198
0.984	0.49744897959183676	0.23938223938223938	1.0	0.13596491228070176	31	0	164	197
0.983	0.49744897959183676	0.23938223938223938	1.0	0.13596491228070176	31	0	164	197
0.982	0.5076530612244898	0.26615969581749055	1.0	0.15350877192982457	35	0	164	193
0.981	0.5178571428571429	0.2973977695167286	0.975609756097561	0.17543859649122806	40	1	163	188
0.98	0.5204081632653061	0.30370370370370375	0.9761904761904762	0.17982456140350878	41	1	163	187
0.979	0.5204081632653061	0.30370370370370375	0.9761904761904762	0.17982456140350878	41	1	163	187
0.978	0.5229591836734694	0.3099630996309963	0.9767441860465116	0.18421052631578946	42	1	163	186
0.977	0.5255102040816326	0.31617647058823534	0.9772727272727273	0.18859649122807018	43	1	163	185
0.976	0.5280612244897959	0.3223443223443223	0.9777777777777777	0.19298245614035087	44	1	163	184
0.975	0.5280612244897959	0.3223443223443223	0.9777777777777777	0.19298245614035087	44	1	163	184
0.974	0.5280612244897959	0.3223443223443223	0.9777777777777777	0.19298245614035087	44	1	163	184
0.973	0.5280612244897959	0.3223443223443223	0.9777777777777777	0.19298245614035087	44	1	163	184
0.972	0.5331632653061225	0.33454545454545453	0.9787234042553191	0.20175438596491227	46	1	163	182
0.971	0.5357142857142857	0.34057971014492755	0.9791666666666666	0.20614035087719298	47	1	163	181
0.97	0.5382653061224489	0.34657039711191334	0.9795918367346939	0.21052631578947367	48	1	163	180
0.969	0.5382653061224489	0.34657039711191334	0.9795918367346939	0.21052631578947367	48	1	163	180
0.968	0.5382653061224489	0.3512544802867384	0.9607843137254902	0.2149122807017544	49	2	162	179
0.967	0.5433673469387755	0.3629893238434164	0.9622641509433962	0.2236842105263158	51	2	162	177
0.966	0.548469387755102	0.37455830388692585	0.9636363636363636	0.2324561403508772	53	2	162	175
0.965	0.548469387755102	0.37455830388692585	0.9636363636363636	0.2324561403508772	53	2	162	175
0.964	0.5535714285714286	0.38596491228070173	0.9649122807017544	0.2412280701754386	55	2	162	173
0.963	0.5663265306122449	0.4137931034482759	0.967741935483871	0.2631578947368421	60	2	162	168
0.962	0.5739795918367347	0.4300341296928328	0.9692307692307692	0.27631578947368424	63	2	162	165
0.961	0.5739795918367347	0.4300341296928328	0.9692307692307692	0.27631578947368424	63	2	162	165
0.96	0.5739795918367347	0.4300341296928328	0.9692307692307692	0.27631578947368424	63	2	162	165
0.959	0.576530612244898	0.4353741496598639	0.9696969696969697	0.2807017543859649	64	2	162	164
0.958	0.5790816326530612	0.4444444444444444	0.9565217391304348	0.2894736842105263	66	3	161	162
0.957	0.5790816326530612	0.4444444444444444	0.9565217391304348	0.2894736842105263	66	3	161	162
0.956	0.5790816326530612	0.4444444444444444	0.9565217391304348	0.2894736842105263	66	3	161	162
0.955	0.5841836734693877	0.45484949832775917	0.9577464788732394	0.2982456140350877	68	3	161	160
0.954	0.5841836734693877	0.45484949832775917	0.9577464788732394	0.2982456140350877	68	3	161	160
0.953	0.5867346938775511	0.46	0.9583333333333334	0.3026315789473684	69	3	161	159
0.952	0.5867346938775511	0.46	0.9583333333333334	0.3026315789473684	69	3	161	159
0.951	0.5867346938775511	0.46	0.9583333333333334	0.3026315789473684	69	3	161	159
0.95	0.5918367346938775	0.47019867549668876	0.9594594594594594	0.31140350877192985	71	3	161	157
0.949	0.5969387755102041	0.4802631578947369	0.9605263157894737	0.3201754385964912	73	3	161	155
0.948	0.5943877551020408	0.4820846905537459	0.9367088607594937	0.32456140350877194	74	5	159	154
0.947	0.5943877551020408	0.4820846905537459	0.9367088607594937	0.32456140350877194	74	5	159	154
0.946	0.5943877551020408	0.4820846905537459	0.9367088607594937	0.32456140350877194	74	5	159	154
0.945	0.5943877551020408	0.4820846905537459	0.9367088607594937	0.32456140350877194	74	5	159	154
0.944	0.5943877551020408	0.4820846905537459	0.9367088607594937	0.32456140350877194	74	5	159	154
