./tflearnModels/bestModels//best_ImageNetInceptionV2_hsa:5340_RMSprop_0.01_207739
Threshold	Accuracy	F-Score	Precision	Recall	TP	FP	TN	FN
0.991	0.49130434782608695	0.03305785123966942	1.0	0.01680672268907563	2	0	111	117
0.99	0.49130434782608695	0.03305785123966942	1.0	0.01680672268907563	2	0	111	117
0.989	0.4956521739130435	0.049180327868852465	1.0	0.025210084033613446	3	0	111	116
0.988	0.4956521739130435	0.049180327868852465	1.0	0.025210084033613446	3	0	111	116
0.987	0.4956521739130435	0.049180327868852465	1.0	0.025210084033613446	3	0	111	116
0.986	0.5043478260869565	0.08064516129032258	1.0	0.04201680672268908	5	0	111	114
0.985	0.5130434782608696	0.1111111111111111	1.0	0.058823529411764705	7	0	111	112
0.984	0.5173913043478261	0.12598425196850394	1.0	0.06722689075630252	8	0	111	111
0.983	0.5173913043478261	0.12598425196850394	1.0	0.06722689075630252	8	0	111	111
0.982	0.5260869565217391	0.1550387596899225	1.0	0.08403361344537816	10	0	111	109
0.981	0.5391304347826087	0.19696969696969696	1.0	0.1092436974789916	13	0	111	106
0.98	0.5391304347826087	0.19696969696969696	1.0	0.1092436974789916	13	0	111	106
0.979	0.5391304347826087	0.19696969696969696	1.0	0.1092436974789916	13	0	111	106
0.978	0.5434782608695652	0.21052631578947367	1.0	0.11764705882352941	14	0	111	105
0.977	0.5434782608695652	0.21052631578947367	1.0	0.11764705882352941	14	0	111	105
0.976	0.5478260869565217	0.22388059701492538	1.0	0.12605042016806722	15	0	111	104
0.975	0.5478260869565217	0.22388059701492538	1.0	0.12605042016806722	15	0	111	104
0.974	0.5478260869565217	0.22388059701492538	1.0	0.12605042016806722	15	0	111	104
0.973	0.5478260869565217	0.22388059701492538	1.0	0.12605042016806722	15	0	111	104
0.972	0.5478260869565217	0.23529411764705882	0.9411764705882353	0.13445378151260504	16	1	110	103
0.971	0.5478260869565217	0.23529411764705882	0.9411764705882353	0.13445378151260504	16	1	110	103
0.97	0.5521739130434783	0.24817518248175183	0.9444444444444444	0.14285714285714285	17	1	110	102
0.969	0.5521739130434783	0.24817518248175183	0.9444444444444444	0.14285714285714285	17	1	110	102
0.968	0.5695652173913044	0.2978723404255319	0.9545454545454546	0.17647058823529413	21	1	110	98
0.967	0.5826086956521739	0.33333333333333337	0.96	0.20168067226890757	24	1	110	95
0.966	0.5782608695652174	0.3310344827586207	0.9230769230769231	0.20168067226890757	24	2	109	95
0.965	0.5782608695652174	0.3310344827586207	0.9230769230769231	0.20168067226890757	24	2	109	95
0.964	0.5782608695652174	0.3310344827586207	0.9230769230769231	0.20168067226890757	24	2	109	95
0.963	0.5782608695652174	0.3310344827586207	0.9230769230769231	0.20168067226890757	24	2	109	95
0.962	0.5782608695652174	0.3310344827586207	0.9230769230769231	0.20168067226890757	24	2	109	95
0.961	0.5782608695652174	0.3310344827586207	0.9230769230769231	0.20168067226890757	24	2	109	95
0.96	0.5782608695652174	0.3310344827586207	0.9230769230769231	0.20168067226890757	24	2	109	95
0.959	0.5739130434782609	0.32876712328767127	0.8888888888888888	0.20168067226890757	24	3	108	95
0.958	0.5869565217391305	0.3624161073825503	0.9	0.226890756302521	27	3	108	92
0.957	0.5826086956521739	0.36	0.8709677419354839	0.226890756302521	27	4	107	92
0.956	0.5826086956521739	0.36	0.8709677419354839	0.226890756302521	27	4	107	92
0.955	0.5826086956521739	0.36	0.8709677419354839	0.226890756302521	27	4	107	92
0.954	0.591304347826087	0.3815789473684211	0.8787878787878788	0.24369747899159663	29	4	107	90
0.953	0.591304347826087	0.3815789473684211	0.8787878787878788	0.24369747899159663	29	4	107	90
0.952	0.5869565217391305	0.3790849673202615	0.8529411764705882	0.24369747899159663	29	5	106	90
0.951	0.5869565217391305	0.3790849673202615	0.8529411764705882	0.24369747899159663	29	5	106	90
0.95	0.591304347826087	0.3896103896103895	0.8571428571428571	0.25210084033613445	30	5	106	89
0.949	0.5956521739130435	0.4000000000000001	0.8611111111111112	0.2605042016806723	31	5	106	88
0.948	0.6	0.41025641025641024	0.8648648648648649	0.2689075630252101	32	5	106	87
0.947	0.6086956521739131	0.4303797468354431	0.8717948717948718	0.2857142857142857	34	5	106	85
0.946	0.6086956521739131	0.4303797468354431	0.8717948717948718	0.2857142857142857	34	5	106	85
0.945	0.6086956521739131	0.4303797468354431	0.8717948717948718	0.2857142857142857	34	5	106	85
0.944	0.6130434782608696	0.44025157232704404	0.875	0.29411764705882354	35	5	106	84
0.943	0.6260869565217392	0.4691358024691357	0.8837209302325582	0.31932773109243695	38	5	106	81
0.942	0.6260869565217392	0.4691358024691357	0.8837209302325582	0.31932773109243695	38	5	106	81
0.941	0.6260869565217392	0.4691358024691357	0.8837209302325582	0.31932773109243695	38	5	106	81
0.94	0.6260869565217392	0.4691358024691357	0.8837209302325582	0.31932773109243695	38	5	106	81
0.939	0.6260869565217392	0.4691358024691357	0.8837209302325582	0.31932773109243695	38	5	106	81
0.938	0.6304347826086957	0.47852760736196315	0.8863636363636364	0.3277310924369748	39	5	106	80
0.9369999999999999	0.6304347826086957	0.47852760736196315	0.8863636363636364	0.3277310924369748	39	5	106	80
0.9359999999999999	0.6304347826086957	0.47852760736196315	0.8863636363636364	0.3277310924369748	39	5	106	80
0.9349999999999999	0.6304347826086957	0.47852760736196315	0.8863636363636364	0.3277310924369748	39	5	106	80
0.9339999999999999	0.6304347826086957	0.47852760736196315	0.8863636363636364	0.3277310924369748	39	5	106	80
0.9329999999999999	0.6304347826086957	0.47852760736196315	0.8863636363636364	0.3277310924369748	39	5	106	80
0.9319999999999999	0.6304347826086957	0.47852760736196315	0.8863636363636364	0.3277310924369748	39	5	106	80
0.9309999999999999	0.6304347826086957	0.47852760736196315	0.8863636363636364	0.3277310924369748	39	5	106	80
0.9299999999999999	0.6391304347826087	0.49696969696969695	0.8913043478260869	0.3445378151260504	41	5	106	78
0.9289999999999999	0.6391304347826087	0.49696969696969695	0.8913043478260869	0.3445378151260504	41	5	106	78
0.9279999999999999	0.6391304347826087	0.49696969696969695	0.8913043478260869	0.3445378151260504	41	5	106	78
0.9269999999999999	0.6434782608695652	0.5060240963855421	0.8936170212765957	0.35294117647058826	42	5	106	77
0.9259999999999999	0.6434782608695652	0.5060240963855421	0.8936170212765957	0.35294117647058826	42	5	106	77
