./tflearnModels/bestModels//best_ImageNetInceptionV2_hsa:6331_momentum_0.01_208010
Threshold	Accuracy	F-Score	Precision	Recall	TP	FP	TN	FN
1.0	0.46153846153846156	0.3859649122807018	1.0	0.2391304347826087	33	0	57	105
0.999	0.5743589743589743	0.5699481865284974	1.0	0.39855072463768115	55	0	57	83
0.998	0.6666666666666666	0.6919431279620852	1.0	0.5289855072463768	73	0	57	65
0.997	0.6666666666666666	0.6919431279620852	1.0	0.5289855072463768	73	0	57	65
0.996	0.6820512820512821	0.7102803738317757	1.0	0.5507246376811594	76	0	57	62
0.995	0.6974358974358974	0.7281105990783411	1.0	0.572463768115942	79	0	57	59
0.994	0.7230769230769231	0.7567567567567568	1.0	0.6086956521739131	84	0	57	54
0.993	0.7230769230769231	0.7567567567567568	1.0	0.6086956521739131	84	0	57	54
0.992	0.7384615384615385	0.7733333333333333	1.0	0.6304347826086957	87	0	57	51
0.991	0.7538461538461538	0.7894736842105263	1.0	0.6521739130434783	90	0	57	48
0.99	0.7692307692307693	0.8051948051948052	1.0	0.6739130434782609	93	0	57	45
0.989	0.7743589743589744	0.810344827586207	1.0	0.6811594202898551	94	0	57	44
0.988	0.7743589743589744	0.810344827586207	1.0	0.6811594202898551	94	0	57	44
0.987	0.7846153846153846	0.8205128205128205	1.0	0.6956521739130435	96	0	57	42
0.986	0.8051282051282052	0.8403361344537814	1.0	0.7246376811594203	100	0	57	38
0.985	0.8051282051282052	0.8403361344537814	1.0	0.7246376811594203	100	0	57	38
0.984	0.8102564102564103	0.8451882845188284	1.0	0.7318840579710145	101	0	57	37
0.983	0.8102564102564103	0.8451882845188284	1.0	0.7318840579710145	101	0	57	37
0.982	0.8256410256410256	0.859504132231405	1.0	0.7536231884057971	104	0	57	34
0.981	0.8307692307692308	0.8641975308641976	1.0	0.7608695652173914	105	0	57	33
0.98	0.8307692307692308	0.8641975308641976	1.0	0.7608695652173914	105	0	57	33
0.979	0.8307692307692308	0.8641975308641976	1.0	0.7608695652173914	105	0	57	33
0.978	0.8307692307692308	0.8641975308641976	1.0	0.7608695652173914	105	0	57	33
0.977	0.8307692307692308	0.8641975308641976	1.0	0.7608695652173914	105	0	57	33
0.976	0.8307692307692308	0.8641975308641976	1.0	0.7608695652173914	105	0	57	33
0.975	0.841025641025641	0.8734693877551021	1.0	0.7753623188405797	107	0	57	31
0.974	0.841025641025641	0.8734693877551021	1.0	0.7753623188405797	107	0	57	31
0.973	0.8461538461538461	0.878048780487805	1.0	0.782608695652174	108	0	57	30
0.972	0.8461538461538461	0.878048780487805	1.0	0.782608695652174	108	0	57	30
0.971	0.8461538461538461	0.878048780487805	1.0	0.782608695652174	108	0	57	30
0.97	0.8461538461538461	0.878048780487805	1.0	0.782608695652174	108	0	57	30
0.969	0.8461538461538461	0.878048780487805	1.0	0.782608695652174	108	0	57	30
0.968	0.8461538461538461	0.878048780487805	1.0	0.782608695652174	108	0	57	30
0.967	0.8461538461538461	0.878048780487805	1.0	0.782608695652174	108	0	57	30
0.966	0.8512820512820513	0.8825910931174089	1.0	0.7898550724637681	109	0	57	29
0.965	0.8512820512820513	0.8825910931174089	1.0	0.7898550724637681	109	0	57	29
0.964	0.8564102564102564	0.8870967741935484	1.0	0.7971014492753623	110	0	57	28
0.963	0.8564102564102564	0.8870967741935484	1.0	0.7971014492753623	110	0	57	28
0.962	0.8615384615384616	0.891566265060241	1.0	0.8043478260869565	111	0	57	27
0.961	0.8666666666666667	0.896	1.0	0.8115942028985508	112	0	57	26
0.96	0.8666666666666667	0.896	1.0	0.8115942028985508	112	0	57	26
0.959	0.8717948717948718	0.900398406374502	1.0	0.8188405797101449	113	0	57	25
0.958	0.8769230769230769	0.9047619047619047	1.0	0.8260869565217391	114	0	57	24
0.957	0.8769230769230769	0.9047619047619047	1.0	0.8260869565217391	114	0	57	24
0.956	0.8769230769230769	0.9047619047619047	1.0	0.8260869565217391	114	0	57	24
0.955	0.8769230769230769	0.9047619047619047	1.0	0.8260869565217391	114	0	57	24
0.954	0.8769230769230769	0.9047619047619047	1.0	0.8260869565217391	114	0	57	24
0.953	0.882051282051282	0.9090909090909091	1.0	0.8333333333333334	115	0	57	23
0.952	0.882051282051282	0.9090909090909091	1.0	0.8333333333333334	115	0	57	23
0.951	0.882051282051282	0.9090909090909091	1.0	0.8333333333333334	115	0	57	23
0.95	0.882051282051282	0.9090909090909091	1.0	0.8333333333333334	115	0	57	23
0.949	0.8871794871794871	0.9133858267716535	1.0	0.8405797101449275	116	0	57	22
0.948	0.8871794871794871	0.9133858267716535	1.0	0.8405797101449275	116	0	57	22
0.947	0.8871794871794871	0.9133858267716535	1.0	0.8405797101449275	116	0	57	22
0.946	0.8871794871794871	0.9133858267716535	1.0	0.8405797101449275	116	0	57	22
0.945	0.8871794871794871	0.9133858267716535	1.0	0.8405797101449275	116	0	57	22
0.944	0.8871794871794871	0.9133858267716535	1.0	0.8405797101449275	116	0	57	22
0.943	0.8923076923076924	0.9176470588235294	1.0	0.8478260869565217	117	0	57	21
0.942	0.8923076923076924	0.9176470588235294	1.0	0.8478260869565217	117	0	57	21
0.941	0.8974358974358975	0.921875	1.0	0.855072463768116	118	0	57	20
0.94	0.8974358974358975	0.921875	1.0	0.855072463768116	118	0	57	20
