./tflearnModels/bestModels//best_ImageNetInceptionV2_hsa:6331_momentum_0.01_208010
Threshold	Accuracy	F-Score	Precision	Recall	TP	FP	TN	FN
1.0	0.9591280653950953	0.11764705882352941	1.0	0.0625	1	0	351	15
0.999	0.9073569482288828	0.10526315789473685	0.09090909090909091	0.125	2	20	331	14
0.998	0.9046321525885559	0.10256410256410256	0.08695652173913043	0.125	2	21	330	14
0.997	0.9046321525885559	0.10256410256410256	0.08695652173913043	0.125	2	21	330	14
0.996	0.9019073569482289	0.1	0.08333333333333333	0.125	2	22	329	14
0.995	0.885558583106267	0.08695652173913045	0.06666666666666667	0.125	2	28	323	14
0.994	0.8828337874659401	0.0851063829787234	0.06451612903225806	0.125	2	29	322	14
0.993	0.8828337874659401	0.0851063829787234	0.06451612903225806	0.125	2	29	322	14
0.992	0.8773841961852861	0.0816326530612245	0.06060606060606061	0.125	2	31	320	14
0.991	0.8746594005449592	0.11538461538461539	0.08333333333333333	0.1875	3	33	318	13
0.99	0.8610354223433242	0.10526315789473682	0.07317073170731707	0.1875	3	38	313	13
0.989	0.8583106267029973	0.10344827586206898	0.07142857142857142	0.1875	3	39	312	13
0.988	0.8583106267029973	0.10344827586206898	0.07142857142857142	0.1875	3	39	312	13
0.987	0.8583106267029973	0.10344827586206898	0.07142857142857142	0.1875	3	39	312	13
0.986	0.8501362397820164	0.09836065573770493	0.06666666666666667	0.1875	3	42	309	13
0.985	0.8474114441416893	0.09677419354838708	0.06521739130434782	0.1875	3	43	308	13
0.984	0.8474114441416893	0.09677419354838708	0.06521739130434782	0.1875	3	43	308	13
0.983	0.8474114441416893	0.09677419354838708	0.06521739130434782	0.1875	3	43	308	13
0.982	0.8474114441416893	0.125	0.08333333333333333	0.25	4	44	307	12
0.981	0.8365122615803815	0.11764705882352941	0.07692307692307693	0.25	4	48	303	12
0.98	0.8365122615803815	0.11764705882352941	0.07692307692307693	0.25	4	48	303	12
0.979	0.8365122615803815	0.11764705882352941	0.07692307692307693	0.25	4	48	303	12
0.978	0.8365122615803815	0.11764705882352941	0.07692307692307693	0.25	4	48	303	12
0.977	0.8283378746594006	0.11267605633802816	0.07272727272727272	0.25	4	51	300	12
0.976	0.8201634877384196	0.1081081081081081	0.06896551724137931	0.25	4	54	297	12
