UniProtAcc	EntryName	GeneName	Organism	Target_ChEMBLid
A0A059UE90	GSK3BETA	GSK3B	BOVIN	CHEMBL3638364
B0FL73	ADRB1	ADRB1	CAVPO	CHEMBL5471
G3H407	I79_005000	I79_005000	CRIGR	CHEMBL3638342
O00311	CDC7	CDC7	HUMAN	CHEMBL5443
O00329	PK3CD	PIK3CD	HUMAN	CHEMBL3130
O00408	PDE2A	PDE2A	HUMAN	CHEMBL2652
O00421	CCRL2	CCRL2	HUMAN	CHEMBL2321627
O00444	PLK4	PLK4	HUMAN	CHEMBL3788
O00519	FAAH1	FAAH	HUMAN	CHEMBL2243
O00748	EST2	CES2	HUMAN	CHEMBL3180
O00763	ACACB	ACACB	HUMAN	CHEMBL4829
O08914	FAAH1	FAAH	MOUSE	CHEMBL3455
O14672	ADA10	ADAM10	HUMAN	CHEMBL5028
O14746	TERT	TERT	HUMAN	CHEMBL2916
O14757	CHK1	CHEK1	HUMAN	CHEMBL4630
O14842	FFAR1	FFAR1	HUMAN	CHEMBL4422
O14920	IKKB	IKBKB	HUMAN	CHEMBL1991
O14965	AURKA	AURKA	HUMAN	CHEMBL4722
O15111	IKKA	CHUK	HUMAN	CHEMBL3476
O15151	MDM4	MDM4	HUMAN	CHEMBL1255126
O15379	HDAC3	HDAC3	HUMAN	CHEMBL1829
O15530	PDPK1	PDPK1	HUMAN	CHEMBL2534
O35433	TRPV1	TRPV1	RAT	CHEMBL5102
O43174	CP26A	CYP26A1	HUMAN	CHEMBL5141
O43318	M3K7	MAP3K7	HUMAN	CHEMBL5776
O43451	MGA	MGAM	HUMAN	CHEMBL2074
O43497	CAC1G	CACNA1G	HUMAN	CHEMBL4641
O43570	CAH12	CA12	HUMAN	CHEMBL3242
O43613	OX1R	HCRTR1	HUMAN	CHEMBL5113
O43614	OX2R	HCRTR2	HUMAN	CHEMBL4792
O55242	SGMR1	SIGMAR1	MOUSE	CHEMBL3465
O60341	KDM1A	KDM1A	HUMAN	CHEMBL6136
O60674	JAK2	JAK2	HUMAN	CHEMBL2971
O60885	BRD4	BRD4	HUMAN	CHEMBL1163125
O60911	CATL2	CTSV	HUMAN	CHEMBL3272
O70342	NPY5R	NPY5R	MOUSE	CHEMBL3802
O70526	BKRB2	BDKRB2	CAVPO	CHEMBL4111
O70528	5HT4R	HTR4	CAVPO	CHEMBL5017
O70536	SOAT1	SOAT1	RAT	CHEMBL285
O75116	ROCK2	ROCK2	HUMAN	CHEMBL2973
O75164	KDM4A	KDM4A	HUMAN	CHEMBL5896
O75173	ATS4	ADAMTS4	HUMAN	CHEMBL2318
O75460	ERN1	ERN1	HUMAN	CHEMBL1163101
O75469	NR1I2	NR1I2	HUMAN	CHEMBL3401
O75762	TRPA1	TRPA1	HUMAN	CHEMBL6007
O75907	DGAT1	DGAT1	HUMAN	CHEMBL6009
O75908	SOAT2	SOAT2	HUMAN	CHEMBL4465
O76074	PDE5A	PDE5A	HUMAN	CHEMBL1827
O76083	PDE9A	PDE9A	HUMAN	CHEMBL3535
O77636	ADA17	ADAM17	PIG	CHEMBL3332
O77746	PDE5A	PDE5A	CANLF	CHEMBL2304402
O94925	GLSK	GLS	HUMAN	CHEMBL2146302
O95136	S1PR2	S1PR2	HUMAN	CHEMBL2955
O95263	PDE8B	PDE8B	HUMAN	CHEMBL4408
O95271	TNKS1	TNKS	HUMAN	CHEMBL6164
O95819	M4K4	MAP4K4	HUMAN	CHEMBL6166
O95977	S1PR4	S1PR4	HUMAN	CHEMBL3230
O96013	PAK4	PAK4	HUMAN	CHEMBL4482
O96017	CHK2	CHEK2	HUMAN	CHEMBL2527
P00338	LDHA	LDHA	HUMAN	CHEMBL4835
P00374	DYR	DHFR	HUMAN	CHEMBL202
P00375	DYR	DHFR	MOUSE	CHEMBL4564
P00376	DYR	DHFR	BOVIN	CHEMBL1075051
P00489	PYGM	PYGM	RABIT	CHEMBL4696
P00519	ABL1	ABL1	HUMAN	CHEMBL1862
P00533	EGFR	EGFR	HUMAN	CHEMBL203
P00734	THRB	F2	HUMAN	CHEMBL204
P00735	THRB	F2	BOVIN	CHEMBL4471
P00740	FA9	F9	HUMAN	CHEMBL2016
P00742	FA10	F10	HUMAN	CHEMBL244
P00746	CFAD	CFD	HUMAN	CHEMBL2176771
P00747	PLMN	PLG	HUMAN	CHEMBL1801
P00749	UROK	PLAU	HUMAN	CHEMBL3286
P00750	TPA	PLAT	HUMAN	CHEMBL1873
P00760	TRY1	TRY1	BOVIN	CHEMBL3769
P00761	TRYP	TRYP	PIG	CHEMBL2366
P00766	CTRA	CTRA	BOVIN	CHEMBL3314
P00791	PEPA	PGA	PIG	CHEMBL2714
P00797	RENI	REN	HUMAN	CHEMBL286
P00915	CAH1	CA1	HUMAN	CHEMBL261
P00918	CAH2	CA2	HUMAN	CHEMBL205
P03372	ESR1	ESR1	HUMAN	CHEMBL206
P03951	FA11	F11	HUMAN	CHEMBL2820
P03952	KLKB1	KLKB1	HUMAN	CHEMBL2000
P03956	MMP1	MMP1	HUMAN	CHEMBL332
P04049	RAF1	RAF1	HUMAN	CHEMBL1906
P04150	GCR	NR3C1	HUMAN	CHEMBL2034
P04626	ERBB2	ERBB2	HUMAN	CHEMBL1824
P04629	NTRK1	NTRK1	HUMAN	CHEMBL2815
P04818	TYSY	TYMS	HUMAN	CHEMBL1952
P05067	A4	APP	HUMAN	CHEMBL2487
P05093	CP17A	CYP17A1	HUMAN	CHEMBL3522
P05129	KPCG	PRKCG	HUMAN	CHEMBL2938
P05164	PERM	MPO	HUMAN	CHEMBL2439
P05186	PPBT	ALPL	HUMAN	CHEMBL5979
P05362	ICAM1	ICAM1	HUMAN	CHEMBL3070
P05622	PGFRB	PDGFRB	MOUSE	CHEMBL2749
P05771	KPCB	PRKCB	HUMAN	CHEMBL3045
P05979	PGH1	PTGS1	SHEEP	CHEMBL2949
P06199	ACM2	CHRM2	PIG	CHEMBL4781
P06213	INSR	INSR	HUMAN	CHEMBL1981
P06239	LCK	LCK	HUMAN	CHEMBL258
P06241	FYN	FYN	HUMAN	CHEMBL1841
P06276	CHLE	BCHE	HUMAN	CHEMBL1914
P06401	PRGR	PGR	HUMAN	CHEMBL208
P06493	CDK1	CDK1	HUMAN	CHEMBL308
P06737	PYGL	PYGL	HUMAN	CHEMBL2568
P07099	HYEP	EPHX1	HUMAN	CHEMBL1968
P07333	CSF1R	CSF1R	HUMAN	CHEMBL1844
P07339	CATD	CTSD	HUMAN	CHEMBL2581
P07477	TRY1	PRSS1	HUMAN	CHEMBL209
P07550	ADRB2	ADRB2	HUMAN	CHEMBL210
P07607	TYSY	TYMS	MOUSE	CHEMBL3160
P07711	CATL1	CTSL	HUMAN	CHEMBL3837
P07858	CATB	CTSB	HUMAN	CHEMBL4072
P07861	NEP	MME	RAT	CHEMBL3369
P07900	HS90A	HSP90AA1	HUMAN	CHEMBL3880
P07943	ALDR	AKR1B1	RAT	CHEMBL2622
P07947	YES	YES1	HUMAN	CHEMBL2073
P07948	LYN	LYN	HUMAN	CHEMBL3905
P07949	RET	RET	HUMAN	CHEMBL2041
P08049	NEP	MME	RABIT	CHEMBL3768
P08069	IGF1R	IGF1R	HUMAN	CHEMBL1957
P08172	ACM2	CHRM2	HUMAN	CHEMBL211
P08173	ACM4	CHRM4	HUMAN	CHEMBL1821
P08183	MDR1	ABCB1	HUMAN	CHEMBL4302
P08235	MCR	NR3C2	HUMAN	CHEMBL1994
P08238	HS90B	HSP90AB1	HUMAN	CHEMBL4303
P08246	ELNE	ELANE	HUMAN	CHEMBL248
P08253	MMP2	MMP2	HUMAN	CHEMBL333
P08254	MMP3	MMP3	HUMAN	CHEMBL283
P08311	CATG	CTSG	HUMAN	CHEMBL4071
P08473	NEP	MME	HUMAN	CHEMBL1944
P08482	ACM1	CHRM1	RAT	CHEMBL276
P08483	ACM3	CHRM3	RAT	CHEMBL320
P08575	PTPRC	PTPRC	HUMAN	CHEMBL3243
P08581	MET	MET	HUMAN	CHEMBL3717
P08588	ADRB1	ADRB1	HUMAN	CHEMBL213
P08631	HCK	HCK	HUMAN	CHEMBL3234
P08684	CP3A4	CYP3A4	HUMAN	CHEMBL340
P08709	FA7	F7	HUMAN	CHEMBL3991
P08842	STS	STS	HUMAN	CHEMBL3559
P08908	5HT1A	HTR1A	HUMAN	CHEMBL214
P08909	5HT2C	HTR2C	RAT	CHEMBL324
P08912	ACM5	CHRM5	HUMAN	CHEMBL2035
P08913	ADA2A	ADRA2A	HUMAN	CHEMBL1867
P09237	MMP7	MMP7	HUMAN	CHEMBL4073
P09483	ACHA4	CHRNA4	RAT	CHEMBL307
P09581	CSF1R	CSF1R	MOUSE	CHEMBL5570
P09619	PGFRB	PDGFRB	HUMAN	CHEMBL1913
P09917	LOX5	ALOX5	HUMAN	CHEMBL215
P09958	FURIN	FURIN	HUMAN	CHEMBL2611
P09960	LKHA4	LTA4H	HUMAN	CHEMBL4618
P0DMS8	AA3R	ADORA3	HUMAN	CHEMBL256
P10275	ANDR	AR	HUMAN	CHEMBL1871
P10276	RARA	RARA	HUMAN	CHEMBL2055
P10415	BCL2	BCL2	HUMAN	CHEMBL4860
P10619	PPGB	CTSA	HUMAN	CHEMBL6115
P10721	KIT	KIT	HUMAN	CHEMBL1936
P10826	RARB	RARB	HUMAN	CHEMBL2008
P10827	THA	THRA	HUMAN	CHEMBL1860
P10828	THB	THRB	HUMAN	CHEMBL1947
P10938	PNMT	PNMT	BOVIN	CHEMBL2331
P10980	ACM2	CHRM2	RAT	CHEMBL309
P11086	PNMT	PNMT	HUMAN	CHEMBL4617
P11150	LIPC	LIPC	HUMAN	CHEMBL2127
P11229	ACM1	CHRM1	HUMAN	CHEMBL216
P11309	PIM1	PIM1	HUMAN	CHEMBL2147
P11362	FGFR1	FGFR1	HUMAN	CHEMBL3650
P11473	VDR	VDR	HUMAN	CHEMBL1977
P11497	ACACA	ACACA	RAT	CHEMBL2397
P11511	CP19A	CYP19A1	HUMAN	CHEMBL1978
P11597	CETP	CETP	HUMAN	CHEMBL3572
P11715	CP17A	CYP17A1	RAT	CHEMBL4430
P11802	CDK4	CDK4	HUMAN	CHEMBL331
P12527	LOX5	ALOX5	RAT	CHEMBL312
P12530	LOX15	ALOX15	RABIT	CHEMBL4358
P12931	SRC	SRC	HUMAN	CHEMBL267
P13497	BMP1	BMP1	HUMAN	CHEMBL3898
P13569	CFTR	CFTR	HUMAN	CHEMBL4051
P13631	RARG	RARG	HUMAN	CHEMBL2003
P13866	SC5A1	SLC5A1	HUMAN	CHEMBL4979
P13945	ADRB3	ADRB3	HUMAN	CHEMBL246
P14061	DHB1	HSD17B1	HUMAN	CHEMBL3181
P14416	DRD2	DRD2	HUMAN	CHEMBL217
P14555	PA2GA	PLA2G2A	HUMAN	CHEMBL3474
P14600	NK1R	TACR1	RAT	CHEMBL4027
P14618	KPYM	PKM	HUMAN	CHEMBL1075189
P14625	ENPL	HSP90B1	HUMAN	CHEMBL1075323
P14740	DPP4	DPP4	RAT	CHEMBL4653
P14780	MMP9	MMP9	HUMAN	CHEMBL321
P14842	5HT2A	HTR2A	RAT	CHEMBL322
P14902	I23O1	IDO1	HUMAN	CHEMBL4685
P15056	BRAF	BRAF	HUMAN	CHEMBL5145
P15121	ALDR	AKR1B1	HUMAN	CHEMBL1900
P15144	AMPN	ANPEP	HUMAN	CHEMBL1907
P15145	AMPN	ANPEP	PIG	CHEMBL2590
P15207	ANDR	AR	RAT	CHEMBL3072
P15304	LIPS	LIPE	RAT	CHEMBL5582
P15538	C11B1	CYP11B1	HUMAN	CHEMBL1908
P15823	ADA1B	ADRA1B	RAT	CHEMBL315
P16050	LOX15	ALOX15	HUMAN	CHEMBL2903
P16083	NQO2	NQO2	HUMAN	CHEMBL3959
P16116	ALDR	AKR1B1	BOVIN	CHEMBL3081
P16232	DHI1	HSD11B1	RAT	CHEMBL2391
P16234	PGFRA	PDGFRA	HUMAN	CHEMBL2007
P16257	TSPO	TSPO	RAT	CHEMBL4552
P16581	LYAM2	SELE	HUMAN	CHEMBL3890
P17252	KPCA	PRKCA	HUMAN	CHEMBL299
