ChEMBLTargetID	UniProtAccession
CHEMBL1075051 P00376
CHEMBL1075104 Q5S007
CHEMBL1075138 Q9NUW8
CHEMBL1075145 P55072
CHEMBL1075189 P14618
CHEMBL1075228 P97639
CHEMBL1075232 P56718
CHEMBL1075284 Q9Z2A7
CHEMBL1075293 Q9D379
CHEMBL1075319 Q7Z2W7
CHEMBL1075323 P14625
CHEMBL1163101 O75460
CHEMBL1163125 O60885
CHEMBL1255126 O15151
CHEMBL1255149 Q7TMR0
CHEMBL1255150 Q80SS6
CHEMBL1293194 P50416
CHEMBL1293289 P25440
CHEMBL1667665 Q1A7N1
CHEMBL1741186 P51449
CHEMBL1741195 P98073
CHEMBL1744525 P43490
CHEMBL1785 P24530
CHEMBL1787 P18405
CHEMBL1790 P30518
CHEMBL1792 P35346
CHEMBL1795186 Q15059
CHEMBL1801 P00747
CHEMBL1804 P30874
CHEMBL1805 P30939
CHEMBL1811 P34995
CHEMBL1821 P08173
CHEMBL1824 P04626
CHEMBL1827 O76074
CHEMBL1829 O15379
CHEMBL1833 P41595
CHEMBL1835 P24557
CHEMBL1836 P35408
CHEMBL1841 P06241
CHEMBL1844 P07333
CHEMBL1850 P21918
CHEMBL1853 P31391
CHEMBL1855 P30968
CHEMBL1860 P10827
CHEMBL1862 P00519
CHEMBL1865 Q9UBN7
CHEMBL1867 P08913
CHEMBL1868 P17948
CHEMBL1870 P28702
CHEMBL1871 P10275
CHEMBL1873 P00750
CHEMBL1875 Q13639
CHEMBL1878 P41180
CHEMBL1881 P43116
CHEMBL1882 P43681
CHEMBL1889 P37288
CHEMBL1898 P28222
CHEMBL1899 P46098
CHEMBL1900 P15121
CHEMBL1901 P32238
CHEMBL1902 P62942
CHEMBL1904 Q13224
CHEMBL1906 P04049
CHEMBL1907 P15144
CHEMBL1908 P15538
CHEMBL1908389 Q12852
CHEMBL1913 P09619
CHEMBL1914 P06276
CHEMBL1916 P18825
CHEMBL1917 P30872
CHEMBL1918 P39086
CHEMBL1921 P47901
CHEMBL1929 P47989
CHEMBL1936 P10721
CHEMBL1937 Q92769
CHEMBL1941 P25021
CHEMBL1942 P18089
CHEMBL1944 P08473
CHEMBL1945 P48039
CHEMBL1946 P49286
CHEMBL1947 P10828
CHEMBL1951 P21397
CHEMBL1952 P04818
CHEMBL1955 P35916
CHEMBL1957 P08069
CHEMBL1968 P07099
CHEMBL1974 P36888
CHEMBL1977 P11473
CHEMBL1978 P11511
CHEMBL1980 Q14524
CHEMBL1981 P06213
CHEMBL1983 P28221
CHEMBL1991 O14920
CHEMBL1994 P08235
CHEMBL1995 P43119
CHEMBL2000 P03952
CHEMBL2001 Q9H244
CHEMBL2003 P13631
CHEMBL2004 P48443
CHEMBL2007 P16234
CHEMBL2008 P10826
CHEMBL2014 P41146
CHEMBL2016 P00740
CHEMBL202 P00374
CHEMBL2028 P32745
CHEMBL203 P00533
CHEMBL2034 P04150
CHEMBL2035 P08912
CHEMBL2039 P27338
CHEMBL204 P00734
CHEMBL2041 P07949
CHEMBL2047 Q96RI1
CHEMBL2049 P30559
CHEMBL205 P00918
CHEMBL2055 P10276
CHEMBL2056 P21728
CHEMBL206 P03372
CHEMBL2061 P19793
CHEMBL2069 P21731
CHEMBL2072 P35499
CHEMBL2073 P07947
CHEMBL2074 O43451
CHEMBL208 P06401
CHEMBL209 P07477
CHEMBL210 P07550
CHEMBL2107 P61073
CHEMBL211 P08172
CHEMBL2127 P11150
CHEMBL213 P08588
CHEMBL214 P08908
CHEMBL2146302 O94925
CHEMBL2147 P11309
CHEMBL2148 P52333
CHEMBL215 P09917
CHEMBL216 P11229
CHEMBL217 P14416
CHEMBL2176771 P00746
CHEMBL2176813 Q923X8
CHEMBL218 P21554
CHEMBL2185 Q96GD4
