log_fl	modelname	target	optimizer	learning_rate	epoch	hidden1	hidden2	dropout	rotate	save_model	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_tp	test_fp	test_tn	test_fn	test_threshold	val_auc	val_auprc	test_auc	test_auprc
convnetTop5Run_981.out	ImageNetInceptionV2	CHEMBL253	RMSprop	0.0005	15	0	0	0.8	0	1	0.92	0.84	0.92	0.92	0.93	661	58	586	52	0.83	0.97	0.98	0.98	0.98
convnetTop5Run_3338.out	ImageNetInceptionV2	CHEMBL2568	adam	0.001	5	0	0	0.6	0	1	0.93	0.81	0.91	0.88	1.0	77	11	33	0	0.33	0.92	0.89	0.94	0.96
convnetTop5Run_3310.out	ImageNetInceptionV2	CHEMBL1937	adam	0.0001	30	0	0	0.6	0	1	0.24	0.07	0.4	0.75	0.15	12	4	38	70	0.01	0.69	0.79	0.62	0.75
convnetTop5Run_1261.out	ImageNetInceptionV2	CHEMBL1908	RMSprop	0.001	30	0	0	0.6	0	1	0.88	0.68	0.85	0.85	0.92	93	17	49	8	1.0	0.91	0.93	0.91	0.92
convnetTop5Run_3462.out	ImageNetInceptionV2	CHEMBL2335	adam	0.001	30	0	0	0.6	0	1	0.9	0.81	0.91	0.92	0.88	59	5	68	8	0.17	0.99	1.0	0.98	0.98
convnetTop5Run_1513.out	ImageNetInceptionV2	CHEMBL4501	adam	0.0001	5	0	0	0.8	0	1	0.78	0.62	0.8	0.87	0.71	92	14	116	37	0.74	0.89	0.86	0.88	0.86
convnetTop5Run_3304.out	ImageNetInceptionV2	CHEMBL5471	adam	0.0005	30	0	0	0.8	0	1	0.91	0.82	0.9	0.83	1.0	43	9	38	0	0.07	0.96	0.97	0.96	0.95
convnetTop5Run_2797.out	ImageNetInceptionV2	CHEMBL4578	RMSprop	0.0001	15	0	0	0.8	0	1	0.95	0.91	0.95	0.97	0.93	138	4	151	10	0.63	0.98	0.99	0.98	0.99
convnetTop5Run_3489.out	ImageNetInceptionV2	CHEMBL2431	adam	0.0005	15	0	0	0.8	0	1	0.88	0.75	0.87	0.87	0.88	139	20	131	19	0.05	0.95	0.96	0.95	0.95
convnetTop5Run_956.out	ImageNetInceptionV2	CHEMBL2461	adam	0.0001	15	0	0	0.8	0	1	0.42	0.32	0.71	0.71	0.29	5	2	30	12	0.37	0.92	0.93	0.78	0.67
convnetTop5Run_2224.out	ImageNetInceptionV2	CHEMBL3996	RMSprop	0.0001	15	0	0	0.6	0	1	0.0	0.0	0.53	0.0	0.0	0	0	87	77	1.0	0.85	0.84	0.75	0.73
convnetTop5Run_567.out	ImageNetInceptionV2	CHEMBL3060	adam	0.001	30	0	0	0.6	0	1	0.17	0.11	0.57	0.67	0.1	2	1	24	19	0.1	0.76	0.68	0.84	0.79
convnetTop5Run_1705.out	ImageNetInceptionV2	CHEMBL3776	RMSprop	0.0005	15	0	0	0.8	0	1	0.75	0.27	0.62	0.6	1.0	44	29	4	0	1.0	0.83	0.9	0.88	0.86
