Target	RF_Accuracy	RF_F1	RF_MCC	SVM_Accuracy	SVM_F1	SVM_MCC	LR_Accuracy	LR_F1	LR_MCC
CHEMBL1918	0.80	0.82	0.60	0.82	0.84	0.65	0.82	0.84	0.64
CHEMBL1918	0.82	0.79	0.63	0.88	0.87	0.77	0.85	0.84	0.70
CHEMBL1918	0.87	0.88	0.73	0.88	0.90	0.79	0.88	0.89	0.77
CHEMBL1918	0.88	0.87	0.77	0.85	0.85	0.72	0.88	0.87	0.77
CHEMBL1918	0.93	0.94	0.87	0.90	0.91	0.81	0.88	0.89	0.77
CHEMBL1918	0.83	0.83	0.67	0.83	0.85	0.71	0.88	0.89	0.78
CHEMBL1918	0.85	0.85	0.71	0.83	0.83	0.68	0.88	0.88	0.78
CHEMBL1918	0.90	0.90	0.81	0.80	0.82	0.66	0.88	0.89	0.79
CHEMBL1918	0.92	0.92	0.85	0.82	0.84	0.69	0.88	0.89	0.79
CHEMBL1918	0.88	0.90	0.76	0.90	0.91	0.82	0.90	0.92	0.79
CHEMBL2008	0.99	0.99	0.97	0.99	0.99	0.97	0.99	0.99	0.97
CHEMBL2008	0.97	0.97	0.95	0.99	0.99	0.97	0.99	0.99	0.97
CHEMBL2008	0.96	0.95	0.92	0.99	0.98	0.97	0.97	0.97	0.95
CHEMBL2008	0.99	0.99	0.97	0.97	0.97	0.95	1.00	1.00	1.00
CHEMBL2008	0.95	0.95	0.89	0.97	0.97	0.95	0.99	0.99	0.97
CHEMBL2008	0.99	0.99	0.97	0.97	0.97	0.95	1.00	1.00	1.00
CHEMBL2008	0.97	0.97	0.95	0.97	0.97	0.95	1.00	1.00	1.00
CHEMBL2008	0.97	0.97	0.95	0.97	0.97	0.95	0.99	0.99	0.97
CHEMBL2008	0.97	0.97	0.95	0.91	0.90	0.82	0.97	0.97	0.95
CHEMBL2008	0.91	0.91	0.82	0.91	0.91	0.82	0.95	0.95	0.89
CHEMBL206	0.74	0.78	0.47	0.73	0.77	0.46	0.74	0.78	0.47
CHEMBL206	0.74	0.79	0.46	0.71	0.76	0.38	0.74	0.79	0.44
CHEMBL206	0.74	0.79	0.46	0.72	0.77	0.42	0.75	0.80	0.47
CHEMBL206	0.74	0.78	0.47	0.72	0.77	0.42	0.75	0.79	0.48
CHEMBL206	0.75	0.81	0.45	0.72	0.78	0.40	0.74	0.80	0.41
CHEMBL206	0.74	0.78	0.47	0.72	0.76	0.42	0.75	0.79	0.48
CHEMBL206	0.75	0.78	0.48	0.74	0.78	0.46	0.74	0.78	0.46
CHEMBL206	0.75	0.79	0.47	0.75	0.80	0.48	0.77	0.82	0.52
CHEMBL206	0.75	0.80	0.47	0.72	0.78	0.41	0.75	0.80	0.46
CHEMBL206	0.75	0.79	0.48	0.69	0.74	0.36	0.75	0.79	0.47
CHEMBL2107	0.90	0.88	0.79	0.77	0.72	0.54	0.88	0.88	0.77
CHEMBL2107	0.88	0.87	0.77	0.85	0.84	0.70	0.90	0.89	0.79
CHEMBL2107	0.94	0.94	0.88	0.78	0.72	0.57	0.90	0.89	0.80
CHEMBL2107	0.92	0.92	0.84	0.78	0.75	0.56	0.90	0.90	0.81
CHEMBL2107	0.92	0.90	0.83	0.87	0.84	0.74	0.93	0.92	0.86
CHEMBL2107	0.97	0.96	0.93	0.83	0.79	0.66	0.93	0.93	0.86
CHEMBL2107	0.97	0.96	0.93	0.87	0.85	0.75	0.97	0.96	0.93
CHEMBL2107	0.98	0.98	0.95	0.87	0.86	0.75	0.97	0.96	0.93
CHEMBL2107	0.97	0.96	0.93	0.87	0.85	0.74	0.98	0.98	0.95
CHEMBL2107	0.98	0.97	0.95	0.87	0.85	0.75	0.98	0.98	0.95
CHEMBL213	0.74	0.75	0.48	0.66	0.67	0.32	0.72	0.73	0.44
CHEMBL213	0.75	0.76	0.51	0.68	0.69	0.37	0.72	0.73	0.45
CHEMBL213	0.75	0.72	0.50	0.71	0.67	0.41	0.74	0.72	0.47
CHEMBL213	0.73	0.74	0.46	0.69	0.71	0.38	0.74	0.75	0.47
CHEMBL213	0.75	0.77	0.51	0.72	0.73	0.44	0.74	0.75	0.47
CHEMBL213	0.75	0.75	0.49	0.73	0.73	0.46	0.74	0.74	0.47
CHEMBL213	0.73	0.73	0.47	0.70	0.71	0.41	0.74	0.75	0.49
CHEMBL213	0.75	0.75	0.50	0.72	0.72	0.45	0.74	0.74	0.49
CHEMBL213	0.75	0.77	0.52	0.69	0.71	0.39	0.74	0.76	0.49
CHEMBL213	0.77	0.77	0.55	0.73	0.72	0.46	0.77	0.77	0.55
CHEMBL251	0.94	0.95	0.89	0.91	0.92	0.83	0.94	0.94	0.87
CHEMBL251	0.94	0.94	0.88	0.92	0.93	0.84	0.94	0.94	0.88
CHEMBL251	0.95	0.96	0.90	0.91	0.92	0.82	0.94	0.95	0.89
CHEMBL251	0.95	0.95	0.90	0.91	0.92	0.82	0.94	0.95	0.89
CHEMBL251	0.95	0.96	0.91	0.92	0.93	0.84	0.95	0.96	0.91
