target	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_auc	test_auprc
CHEMBL1918	0.93	0.87	0.93	0.93	0.93	0.92	0.90
CHEMBL1918	0.91	0.83	0.92	0.92	0.89	0.95	0.95
CHEMBL1918	0.90	0.80	0.90	0.88	0.93	0.93	0.90
CHEMBL1918	0.92	0.79	0.90	0.89	0.94	0.92	0.91
CHEMBL1918	0.88	0.77	0.88	0.87	0.90	0.94	0.87
CHEMBL1918	0.87	0.74	0.87	0.84	0.90	0.92	0.92
CHEMBL1918	0.84	0.72	0.85	0.96	0.74	0.88	0.87
CHEMBL1918	0.85	0.71	0.85	0.93	0.78	0.91	0.92
CHEMBL1918	0.87	0.71	0.85	0.81	0.94	0.89	0.85
CHEMBL1918	0.84	0.70	0.85	0.89	0.80	0.88	0.91
CHEMBL2008	0.96	0.92	0.96	0.92	1.00	0.99	0.99
CHEMBL2008	0.96	0.92	0.96	0.94	0.97	0.99	0.99
CHEMBL2008	0.95	0.90	0.95	0.91	1.00	0.97	0.98
CHEMBL2008	0.94	0.89	0.95	0.97	0.92	0.98	0.98
CHEMBL2008	0.93	0.87	0.93	0.95	0.92	0.98	0.98
CHEMBL2008	0.93	0.87	0.93	1.00	0.87	0.98	0.98
CHEMBL2008	0.94	0.87	0.93	0.95	0.92	0.99	0.99
CHEMBL2008	0.91	0.85	0.92	0.84	1.00	0.99	0.98
CHEMBL2008	0.93	0.85	0.92	0.86	1.00	0.98	0.98
CHEMBL2008	0.90	0.82	0.91	0.97	0.83	0.99	0.98
CHEMBL206	0.88	0.70	0.85	0.91	0.84	0.93	0.95
CHEMBL206	0.89	0.68	0.85	0.88	0.89	0.90	0.93
CHEMBL206	0.88	0.68	0.85	0.87	0.89	0.89	0.92
CHEMBL206	0.87	0.67	0.84	0.89	0.85	0.91	0.95
CHEMBL206	0.88	0.66	0.84	0.90	0.86	0.89	0.93
CHEMBL206	0.86	0.66	0.83	0.89	0.83	0.89	0.92
CHEMBL206	0.85	0.65	0.83	0.84	0.86	0.89	0.92
CHEMBL206	0.85	0.65	0.83	0.85	0.86	0.88	0.92
CHEMBL206	0.88	0.64	0.83	0.82	0.94	0.92	0.95
CHEMBL206	0.86	0.63	0.82	0.85	0.87	0.88	0.93
CHEMBL2107	0.95	0.91	0.95	0.93	0.98	0.97	0.96
CHEMBL2107	0.93	0.87	0.93	1.00	0.87	0.99	0.99
CHEMBL2107	0.92	0.86	0.93	0.90	0.95	0.96	0.96
CHEMBL2107	0.91	0.84	0.92	0.90	0.92	0.95	0.92
CHEMBL2107	0.91	0.84	0.92	0.92	0.90	0.95	0.94
CHEMBL2107	0.89	0.80	0.90	0.84	0.95	0.97	0.97
CHEMBL2107	0.88	0.80	0.91	0.91	0.85	0.93	0.86
CHEMBL2107	0.90	0.79	0.90	0.91	0.89	0.93	0.94
CHEMBL2107	0.91	0.79	0.90	0.91	0.90	0.95	0.95
CHEMBL2107	0.89	0.78	0.88	0.81	0.98	0.93	0.90
CHEMBL213	0.91	0.80	0.90	0.88	0.95	0.93	0.92
CHEMBL213	0.90	0.78	0.89	0.85	0.96	0.95	0.94
CHEMBL213	0.90	0.78	0.89	0.91	0.89	0.93	0.92
CHEMBL213	0.89	0.78	0.89	0.93	0.86	0.93	0.94
CHEMBL213	0.88	0.73	0.87	0.88	0.88	0.90	0.89
CHEMBL213	0.88	0.73	0.87	0.86	0.90	0.92	0.89
CHEMBL213	0.86	0.72	0.86	0.82	0.91	0.92	0.90
CHEMBL213	0.86	0.72	0.86	0.88	0.85	0.91	0.90
CHEMBL213	0.85	0.71	0.85	0.82	0.88	0.91	0.89
CHEMBL213	0.86	0.71	0.85	0.81	0.91	0.92	0.91
CHEMBL251	0.94	0.86	0.93	0.94	0.94	0.97	0.97
CHEMBL251	0.93	0.85	0.93	0.94	0.93	0.96	0.96
CHEMBL251	0.92	0.84	0.92	0.91	0.94	0.97	0.97
CHEMBL251	0.93	0.84	0.92	0.91	0.95	0.97	0.97
CHEMBL251	0.93	0.84	0.92	0.93	0.93	0.97	0.97
CHEMBL251	0.92	0.83	0.91	0.88	0.97	0.96	0.94
CHEMBL251	0.92	0.83	0.91	0.89	0.95	0.97	0.97
CHEMBL251	0.92	0.82	0.91	0.91	0.94	0.97	0.97
CHEMBL251	0.91	0.82	0.91	0.90	0.93	0.95	0.94
CHEMBL251	0.91	0.81	0.90	0.90	0.93	0.95	0.95
