log_fl	modelname	target	optimizer	learning_rate	epoch	hidden1	hidden2	dropout	rotate	save_model	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_tp	test_fp	test_tn	test_fn	test_threshold	test_auc	test_auprc
convnetDUDE-CNNModel-gcr-adam-0.001-30-32-0-0.8-0-0-9952.out	CNNModel	gcr	adam	0.001	30	32	0	0.8	0	0	0.72	0.52	0.77	0.69	0.75	18	8	28	6	0.94	0.83	0.69
convnetDUDE-ImageNetInceptionV2-ace-adam-0.001-30-0-0-0.6-0-0-10275.out	ImageNetInceptionV2	ace	adam	0.001	30	0	0	0.6	0	0	0.74	0.53	0.75	0.64	0.88	21	12	24	3	0.28	0.84	0.81
convnetDUDE-CNNModel-hdac2-adam-0.001-30-256-0-0.8-0-0-12616.out	CNNModel	hdac2	adam	0.001	30	256	0	0.8	0	0	0.7	0.64	0.82	1	0.54	13	0	36	11	0.88	0.87	0.85
convnetDUDE-ImageNetInceptionV2-nos1-adam-0.0005-30-0-0-0.6-0-0-12389.out	ImageNetInceptionV2	nos1	adam	0.0005	30	0	0	0.6	0	0	0.73	0.55	0.78	0.72	0.75	18	7	29	6	0.95	0.83	0.81
convnetDUDE-ImageNetInceptionV2-parp1-RMSprop-0.0001-30-0-0-0.6-0-0-11863.out	ImageNetInceptionV2	parp1	RMSprop	0.0001	30	0	0	0.6	0	0	0.72	0.52	0.77	0.69	0.75	18	8	28	6	0.23	0.79	0.77
convnetDUDE-ImageNetInceptionV2-aofb-RMSprop-0.0001-30-0-0-0.6-0-0-14311.out	ImageNetInceptionV2	aofb	RMSprop	0.0001	30	0	0	0.6	0	0	0.71	0.49	0.73	0.62	0.83	20	12	24	4	0.4	0.78	0.69
convnetDUDE-ImageNetInceptionV2-inha-adam-0.001-30-0-0-0.8-0-0-13444.out	ImageNetInceptionV2	inha	adam	0.001	30	0	0	0.8	0	0	0.73	0.52	0.75	0.65	0.83	20	11	25	4	0.31	0.82	0.75
convnetDUDE-ImageNetInceptionV2-hxk4-adam-0.001-30-0-0-0.6-0-0-13827.out	ImageNetInceptionV2	hxk4	adam	0.001	30	0	0	0.6	0	0	0.64	0.35	0.65	0.54	0.79	19	16	20	5	0.99	0.77	0.73
convnetDUDE-CNNModel-plk1-adam-0.0005-30-128-0-0.6-0-0-12989.out	CNNModel	plk1	adam	0.0005	30	128	0	0.6	0	0	0.77	0.65	0.83	0.85	0.71	17	3	33	7	0.97	0.83	0.8
convnetDUDE-ImageNetInceptionV2-pgh1-RMSprop-0.0005-30-0-0-0.6-0-0-13979.out	ImageNetInceptionV2	pgh1	RMSprop	0.0005	30	0	0	0.6	0	0	0.73	0.53	0.73	0.61	0.92	22	14	22	2	0.83	0.77	0.63
