modelname	target	optimizer	learning_rate	epoch	hidden1	hidden2	dropout	save_model	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_tp	test_fp	test_tn	test_fn	test_auc	test_auprc
ImageNetInceptionV2	aces	adam	0.001	30	0	0	0.6	0	0.82	0.7	0.83	0.72	0.96	23	9	27	1	0.89	0.85
ImageNetInceptionV2	casp3	adam	0.0005	30	0	0	0.6	0	0.84	0.73	0.87	0.81	0.88	21	5	31	3	0.88	0.79
CNNModel	vgfr2	adam	0.0005	30	32	0	0.6	0	0.78	0.69	0.85	0.94	0.67	16	1	35	8	0.88	0.8
CNNModel	hdac2	adam	0.001	30	256	0	0.8	0	0.7	0.64	0.82	1	0.54	13	0	36	11	0.87	0.85
ImageNetInceptionV2	mcr	adam	0.0001	15	0	0	0.6	0	0.78	0.62	0.82	0.76	0.79	19	6	30	5	0.87	0.81
ImageNetInceptionV2	xiap	adam	0.0005	30	0	0	0.8	0	0.8	0.65	0.82	0.71	0.92	22	9	27	2	0.87	0.79
ImageNetInceptionV2	hivrt	RMSprop	0.0001	30	0	0	0.6	0	0.69	0.46	0.73	0.64	0.75	18	10	26	6	0.87	0.78
ImageNetInceptionV2	hivpr	adam	0.001	15	0	0	0.6	0	0.78	0.62	0.78	0.66	0.96	23	12	24	1	0.87	0.75
ImageNetInceptionV2	hdac8	adam	0.0001	15	0	0	0.8	0	0.78	0.65	0.83	0.82	0.75	18	4	32	6	0.87	0.85
ImageNetInceptionV2	glcm	adam	0.001	30	0	0	0.8	0	0.82	0.72	0.87	0.9	0.75	18	2	34	6	0.87	0.79
ImageNetInceptionV2	try1	RMSprop	0.001	30	0	0	0.8	0	0.78	0.64	0.78	0.64	1	23	13	23	0	0.87	0.71
ImageNetInceptionV2	dyr	adam	0.0001	30	0	0	0.8	0	0.79	0.65	0.83	0.79	0.79	19	5	31	5	0.87	0.86
ImageNetInceptionV2	fgfr1	adam	0.0005	30	0	0	0.8	0	0.65	0.37	0.57	0.48	1	24	26	10	0	0.86	0.8
ImageNetInceptionV2	grik1	adam	0.001	15	0	0	0.6	0	0.22	0.28	0.65	1	0.12	3	0	36	21	0.86	0.82
ImageNetInceptionV2	kpcb	adam	0.0001	15	0	0	0.6	0	0.8	0.68	0.85	0.86	0.75	18	3	33	6	0.86	0.83
ImageNetInceptionV2	pparg	RMSprop	0.001	30	0	0	0.6	0	0.76	0.59	0.78	0.66	0.91	21	11	25	2	0.86	0.79
ImageNetInceptionV2	cdk2	RMSprop	0.0001	15	0	0	0.6	0	0.81	0.67	0.83	0.75	0.88	21	7	29	3	0.86	0.82
CNNModel	lkha4	adam	0.0005	30	128	0	0.6	0	0.76	0.59	0.8	0.73	0.79	19	7	29	5	0.86	0.71
ImageNetInceptionV2	jak2	RMSprop	0.0001	30	0	0	0.6	0	0.75	0.58	0.73	0.6	1	24	16	20	0	0.86	0.77
ImageNetInceptionV2	hivint	adam	0.0001	15	0	0	0.6	0	0.63	0.55	0.78	0.92	0.48	11	1	35	12	0.86	0.82
ImageNetInceptionV2	ppard	RMSprop	0.0005	30	0	0	0.8	0	0.8	0.74	0.87	1	0.67	16	0	36	8	0.86	0.88
ImageNetInceptionV2	wee1	adam	0.0001	15	0	0	0.8	0	0.76	0.65	0.83	0.89	0.67	16	2	34	8	0.86	0.85
ImageNetInceptionV2	rxra	adam	0.0005	30	0	0	0.6	0	0.79	0.64	0.82	0.72	0.88	21	8	28	3	0.86	0.82
ImageNetInceptionV2	tryb1	adam	0.0001	30	0	0	0.8	0	0.8	0.65	0.83	0.77	0.83	20	6	29	4	0.86	0.83
ImageNetInceptionV2	andr	adam	0.0005	15	0	0	0.6	0	0.8	0.65	0.82	0.71	0.92	22	9	27	2	0.86	0.82
ImageNetInceptionV2	ppara	RMSprop	0.0005	30	0	0	0.8	0	0.77	0.6	0.78	0.67	0.92	22	11	25	2	0.85	0.78
ImageNetInceptionV2	fkb1a	adam	0.001	15	0	0	0.6	0	0.08	0.16	0.62	1	0.04	1	0	36	23	0.85	0.83
ImageNetInceptionV2	dpp4	adam	0.0001	15	0	0	0.6	0	0.61	0.57	0.78	1	0.43	10	0	36	13	0.85	0.81
ImageNetInceptionV2	comt	adam	0.0005	30	0	0	0.8	0	0.77	0.62	0.76	0.62	1	23	14	22	0	0.85	0.75
ImageNetInceptionV2	ace	adam	0.001	30	0	0	0.6	0	0.74	0.53	0.75	0.64	0.88	21	12	24	3	0.84	0.81
ImageNetInceptionV2	hmdh	adam	0.001	30	0	0	0.8	0	0.76	0.59	0.78	0.68	0.88	21	10	26	3	0.84	0.78
ImageNetInceptionV2	ital	RMSprop	0.001	30	0	0	0.8	0	0.68	0.6	0.8	0.93	0.54	13	1	35	11	0.84	0.81
ImageNetInceptionV2	prgr	adam	0.001	30	0	0	0.8	0	0.74	0.58	0.8	0.77	0.71	17	5	31	7	0.84	0.82
