InceptModel	InceptPerf	ModelCNN	CNNPerf	PerfDiff
ImageNetInceptionV2	0,84	CNNModel	0,84	0
ImageNetInceptionV2	0,84	CNNModel	0,84	0
ImageNetInceptionV2	0,83	CNNModel	0,83	0
ImageNetInceptionV2	0,82	CNNModel	0,82	0
ImageNetInceptionV2	0,82	CNNModel	0,82	0
ImageNetInceptionV2	0,82	CNNModel	0,82	0
ImageNetInceptionV2	0,74	CNNModel	0,74	0
ImageNetInceptionV2	0,74	CNNModel	0,74	0
ImageNetInceptionV2	0,73	CNNModel	0,73	0
ImageNetInceptionV2	0,72	CNNModel	0,72	0
ImageNetInceptionV2	0,68	CNNModel	0,68	0
ImageNetInceptionV2	0,67	CNNModel	0,67	0
ImageNetInceptionV2	0,65	CNNModel	0,65	0
ImageNetInceptionV2	0,6	CNNModel	0,6	0
ImageNetInceptionV2	0,47	CNNModel	0,47	0
ImageNetInceptionV2	0,43	CNNModel	0,43	0
ImageNetInceptionV2	0,41	CNNModel	0,41	0
ImageNetInceptionV2	0,38	CNNModel	0,38	0
ImageNetInceptionV2	0,26	CNNModel	0,26	0
ImageNetInceptionV2	0,91	CNNModel	0,9	0,01
ImageNetInceptionV2	0,89	CNNModel	0,88	0,01
ImageNetInceptionV2	0,89	CNNModel	0,88	0,01
ImageNetInceptionV2	0,86	CNNModel	0,85	0,01
ImageNetInceptionV2	0,8	CNNModel	0,79	0,01
ImageNetInceptionV2	0,78	CNNModel	0,77	0,01
ImageNetInceptionV2	0,77	CNNModel	0,76	0,01
ImageNetInceptionV2	0,76	CNNModel	0,75	0,01
ImageNetInceptionV2	0,75	CNNModel	0,74	0,01
ImageNetInceptionV2	0,71	CNNModel	0,7	0,01
ImageNetInceptionV2	0,62	CNNModel	0,61	0,01
ImageNetInceptionV2	0,55	CNNModel	0,54	0,01
ImageNetInceptionV2	0,53	CNNModel	0,52	0,01
ImageNetInceptionV2	0,51	CNNModel	0,5	0,01
ImageNetInceptionV2	0,89	CNNModel	0,87	0,02
ImageNetInceptionV2	0,88	CNNModel	0,86	0,02
ImageNetInceptionV2	0,86	CNNModel	0,84	0,02
ImageNetInceptionV2	0,85	CNNModel	0,83	0,02
ImageNetInceptionV2	0,84	CNNModel	0,82	0,02
ImageNetInceptionV2	0,83	CNNModel	0,81	0,02
ImageNetInceptionV2	0,8	CNNModel	0,78	0,02
ImageNetInceptionV2	0,8	CNNModel	0,78	0,02
ImageNetInceptionV2	0,77	CNNModel	0,75	0,02
ImageNetInceptionV2	0,77	CNNModel	0,75	0,02
ImageNetInceptionV2	0,77	CNNModel	0,75	0,02
ImageNetInceptionV2	0,76	CNNModel	0,74	0,02
ImageNetInceptionV2	0,75	CNNModel	0,73	0,02
ImageNetInceptionV2	0,74	CNNModel	0,72	0,02
ImageNetInceptionV2	0,73	CNNModel	0,71	0,02
ImageNetInceptionV2	0,66	CNNModel	0,64	0,02
ImageNetInceptionV2	0,63	CNNModel	0,61	0,02
ImageNetInceptionV2	0,62	CNNModel	0,6	0,02
ImageNetInceptionV2	0,61	CNNModel	0,59	0,02
ImageNetInceptionV2	0,56	CNNModel	0,54	0,02
ImageNetInceptionV2	0,56	CNNModel	0,54	0,02
ImageNetInceptionV2	0,55	CNNModel	0,53	0,02
ImageNetInceptionV2	0,46	CNNModel	0,44	0,02
ImageNetInceptionV2	0,97	CNNModel	0,94	0,03
ImageNetInceptionV2	0,91	CNNModel	0,88	0,03
ImageNetInceptionV2	0,91	CNNModel	0,88	0,03
ImageNetInceptionV2	0,87	CNNModel	0,84	0,03
ImageNetInceptionV2	0,85	CNNModel	0,82	0,03
ImageNetInceptionV2	0,84	CNNModel	0,81	0,03
ImageNetInceptionV2	0,83	CNNModel	0,8	0,03
ImageNetInceptionV2	0,81	CNNModel	0,78	0,03
ImageNetInceptionV2	0,77	CNNModel	0,74	0,03
ImageNetInceptionV2	0,77	CNNModel	0,74	0,03
ImageNetInceptionV2	0,76	CNNModel	0,73	0,03
ImageNetInceptionV2	0,74	CNNModel	0,71	0,03
ImageNetInceptionV2	0,72	CNNModel	0,69	0,03
ImageNetInceptionV2	0,7	CNNModel	0,67	0,03
ImageNetInceptionV2	0,63	CNNModel	0,6	0,03
ImageNetInceptionV2	0,63	CNNModel	0,6	0,03
ImageNetInceptionV2	0,63	CNNModel	0,6	0,03
ImageNetInceptionV2	0,6	CNNModel	0,57	0,03
ImageNetInceptionV2	0,52	CNNModel	0,49	0,03
ImageNetInceptionV2	0,26	CNNModel	0,23	0,03
ImageNetInceptionV2	0,96	CNNModel	0,92	0,04
ImageNetInceptionV2	0,9	CNNModel	0,86	0,04
ImageNetInceptionV2	0,82	CNNModel	0,78	0,04
ImageNetInceptionV2	0,82	CNNModel	0,78	0,04
ImageNetInceptionV2	0,81	CNNModel	0,77	0,04
ImageNetInceptionV2	0,81	CNNModel	0,77	0,04
ImageNetInceptionV2	0,79	CNNModel	0,75	0,04
ImageNetInceptionV2	0,77	CNNModel	0,73	0,04
ImageNetInceptionV2	0,74	CNNModel	0,7	0,04
ImageNetInceptionV2	0,73	CNNModel	0,69	0,04
