log_fl	modelname	target	optimizer	learning_rate	epoch	hidden1	hidden2	dropout	rotate	save_model	test_f1score	test_mcc	test_accuracy	test_precision	test_recall	test_tp	test_fp	test_tn	test_fn	test_threshold	val_auc	val_auprc	test_auc	test_auprc
convnetLenselinkFinalRun_13758.out	CNNModel	CHEMBL206	adam	0.0005	15	128	0	0.8	0	0	0.78	0.45	0.74	0.75	0.82	51	17	27	11	0.47	0.73	0.74	0.73	0.74
convnetLenselinkFinalRun_15078.out	ImageNetInceptionV2	CHEMBL249	adam	0.0005	15	0	0	0.8	0	0	0.92	0.29	0.86	0.86	1	109	18	2	0	0.18	0.57	0.85	0.57	0.85
convnetLenselinkFinalRun_29721.out	ImageNetInceptionV2	CHEMBL2243	RMSprop	0.001	30	0	0	0.6	0	0	0.78	0.29	0.69	0.83	0.74	100	21	29	36	0.85	0.67	0.83	0.67	0.83
convnetLenselinkFinalRun_8307.out	ImageNetInceptionV2	CHEMBL1908	adam	0.001	5	0	0	0.6	0	0	0.61	0.34	0.65	0.78	0.5	28	8	38	28	0.38	0.67	0.69	0.67	0.69
convnetLenselinkFinalRun_5868.out	ImageNetInceptionV2	CHEMBL4179	RMSprop	0.0005	5	0	0	0.8	0	0	0.91	0.64	0.86	0.95	0.88	35	2	9	5	0.51	0.9	0.97	0.9	0.97
convnetLenselinkFinalRun_23770.out	ImageNetInceptionV2	CHEMBL274	RMSprop	0.001	15	0	0	0.8	0	0	0.83	0.55	0.78	0.75	0.94	117	40	48	7	0.98	0.76	0.74	0.76	0.74
convnetLenselinkFinalRun_36124.out	CNNModel	CHEMBL203	adam	0.001	30	128	0	0.8	0	0	0.53	0.34	0.7	0.65	0.45	83	44	262	103	0.52	0.69	0.55	0.69	0.55
convnetLenselinkFinalRun_13021.out	CNNModel	CHEMBL234	adam	0.0001	15	32	0	0.6	0	0	0.74	0.42	0.69	0.92	0.62	88	8	45	53	0.74	0.72	0.9	0.72	0.9
convnetLenselinkFinalRun_11333.out	ImageNetInceptionV2	CHEMBL333	adam	0.0005	5	0	0	0.6	0	0	0.75	0.3	0.65	0.62	0.94	145	88	35	10	0.31	0.58	0.62	0.58	0.62
convnetLenselinkFinalRun_11571.out	ImageNetInceptionV2	CHEMBL3524	adam	0.001	5	0	0	0.6	0	0	0.21	0.28	0.69	1	0.12	4	0	62	30	0.46	0.39	0.41	0.39	0.41
