CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL2105704	1377974	CHEMBL1289601	716009	LENVATINIB MESYLATE	Lenvatinib, E7080, C7	426.86	4.07	115.57	0	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)N.CS(=O)(=O)O	15452041	Drug metabolism					Drug metabolism				tde		0				1485936	CHEMBL3536178	A	Drug metabolism in human liver S9 fraction assessed as decrease of parent compound level at 50 uM up to 120 mins by HPLC analysis in presence of GSH and NADPH	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000220	22224	CHEMBL612558	ADMET		ADMET		0	Unassigned			91973	CHEMBL3526157	22207053	Drug Metab. Dispos.	2012	40	4	662					
CHEMBL2105704	1377974	CHEMBL1289601	716009	LENVATINIB MESYLATE	Lenvatinib, E7080, C7	426.86	4.07	115.57	0	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)N.CS(=O)(=O)O	15452044	Drug metabolism					Drug metabolism				metabolite_detected		0				1485939	CHEMBL3536181	A	Drug metabolism in human liver S9 fraction assessed as 5-(3-(6-carbamoyl-7-methoxyquinolin-4-ylthio)-1-(carboxymethylamino)-1-oxopropan-2-ylamino)-2-methyl-5-oxopentanoic acid level at 50 uM up to 120 mins by HPLC analysis in presence of GSH and absence of NADPH	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000221	22224	CHEMBL612558	ADMET		ADMET		0	Unassigned			91973	CHEMBL3526157	22207053	Drug Metab. Dispos.	2012	40	4	662					
CHEMBL2105704	1377974	CHEMBL1289601	716009	LENVATINIB MESYLATE	Lenvatinib, E7080, C7	426.86	4.07	115.57	0	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)N.CS(=O)(=O)O	15452047	Drug metabolism					Drug metabolism				metabolite_detected		0				1485942	CHEMBL3536184	P	Drug metabolism in potassium phosphate buffer at pH 7.4 assessed as decrease of parent compound at 50 uM in presence of GSH	1	Scientific Literature				Autocuration	BAO_0000100	22229	CHEMBL2362975	NO TARGET		No relevant target		0	Unassigned			91973	CHEMBL3526157	22207053	Drug Metab. Dispos.	2012	40	4	662					
CHEMBL2105704	1377974	CHEMBL1289601	716009	LENVATINIB MESYLATE	Lenvatinib, E7080, C7	426.86	4.07	115.57	0	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)N.CS(=O)(=O)O	15452050	Drug metabolism					Drug metabolism				metabolite_detected		0				1485946	CHEMBL3536158	P	Drug metabolism in potassium phosphate buffer at pH 7.4 assessed as decrease of parent compound at 50 uM in presence of NAC	1	Scientific Literature				Autocuration	BAO_0000100	22229	CHEMBL2362975	NO TARGET		No relevant target		0	Unassigned			91973	CHEMBL3526157	22207053	Drug Metab. Dispos.	2012	40	4	662					
CHEMBL1289601	716009	CHEMBL1289601	716009	LENVATINIB	10, E7080	426.86	4.07	115.57	0	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)N	12138555	IC50	=	4	nM	8.4	IC50	=	4	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	878375	CHEMBL2186468	B	Inhibition of VEGFR2	1	Scientific Literature				Autocuration	BAO_0000357	10980	CHEMBL279	SINGLE PROTEIN	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	8	Homologous protein			66676	CHEMBL2177017	23098265	J. Med. Chem.	2012	55	24	10797					
CHEMBL1289601	716009	CHEMBL1289601	716009	LENVATINIB	E7080	426.86	4.07	115.57	0	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)N	3595759	IC50	=	4	nM	8.4	IC50	=	4	nM			1	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	686224	CHEMBL1292980	B	Inhibition of recombinant VEGFR2 after 1 hr by fluorescence polarization assay	1	Scientific Literature				Autocuration	BAO_0000357	10980	CHEMBL279	SINGLE PROTEIN	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	8	Homologous protein			53985	CHEMBL1287660	20869793	Eur. J. Med. Chem.	2010	45	11	5420					
CHEMBL1289601	716009	CHEMBL1289601	716009	LENVATINIB	lenvatinib, E7080	426.86	4.07	115.57	0	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)N	15247908	IC50	=	10	nM	8	IC50	=	10	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1477232	CHEMBL3428924	B	Inhibition of CCDC6/RET (unknown origin) autophoshorylation	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000224	109661	CHEMBL3430904	CHIMERIC PROTEIN	P07949, Q16204	Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET	Homo sapiens	7	Protein complex			91749	CHEMBL3425502	25625428	J. Med. Chem.	2015	58	9	3672					
CHEMBL1289601	716009	CHEMBL1289601	716009	LENVATINIB	SID137276042	426.86	4.07	115.57	0	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)N	14018327	Potency		3449.9	nM		Potency		3.4499	uM	active		0	BAO_0000186	UO_0000065	http://www.openphacts.org/units/Nanomolar	1301456	CHEMBL3215013	F	PubChem BioAssay. qHTS for small molecule inhibitors of Yes1 kinase: Primary Screen.   (Class of assay: confirmatory) 	7	PubChem BioAssays				Autocuration	BAO_0000019	18033	CHEMBL2073	SINGLE PROTEIN	P07947	Tyrosine-protein kinase YES	Homo sapiens	9	Protein			51887	CHEMBL1201862											
CHEMBL1289601	716009	CHEMBL1289601	716009	LENVATINIB	SID137276042	426.86	4.07	115.57	0	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)N	11460344	Potency		18818	nM		Potency		18.818	uM	active		0	BAO_0000186	UO_0000065	http://www.openphacts.org/units/Nanomolar	845159	CHEMBL2114770	F	PubChem BioAssay. qHTS Assay for Identification of Small Molecule Antagonists for NFkB Signaling Pathway. (Class of assay: confirmatory) 	7	PubChem BioAssays				Autocuration	BAO_0000019	22226	CHEMBL612545	UNCHECKED		Unchecked		0	Unassigned			51887	CHEMBL1201862											
CHEMBL1289601	716009	CHEMBL1289601	716009	LENVATINIB	SID137276042	426.86	4.07	115.57	0	COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)N	11582450	Potency		33173.4	nM		Potency		33.1734	uM	inconclusive		0	BAO_0000186	UO_0000065	http://www.openphacts.org/units/Nanomolar	845168	CHEMBL2114779	F	PubChem BioAssay. Cytotoxicity counterscreen for NFkB agonists and antagonists. (Class of assay: confirmatory) 	7	PubChem BioAssays				Autocuration	BAO_0000019	22221	CHEMBL3879801	NON-MOLECULAR		Placeholder for assays where the target is a tissue/organism etc		1	Non-molecular			51887	CHEMBL1201862											
