CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL2264	11619	Puromycin-sensitive aminopeptidase	P55786	SINGLE PROTEIN	Homo sapiens	19	19
CHEMBL2277	13070	AICAR transformylase	Q9CWJ9	SINGLE PROTEIN	Mus musculus	5	9
CHEMBL2278	13071	Beta-glucocerebrosidase	P17439	SINGLE PROTEIN	Mus musculus	36	36
CHEMBL2293	12106	NADP-dependent malic enzyme	P13697	SINGLE PROTEIN	Rattus norvegicus	6	18
CHEMBL2308	12810	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	Q9UKM7	SINGLE PROTEIN	Homo sapiens	30	30
CHEMBL2326	11060	Carbonic anhydrase VII	P43166	SINGLE PROTEIN	Homo sapiens	780	1125
CHEMBL2334	10131	Caspase-3	P42574	SINGLE PROTEIN	Homo sapiens	2827	3485
CHEMBL261	10193	Carbonic anhydrase I	P00915	SINGLE PROTEIN	Homo sapiens	5411	9031
CHEMBL2363	10358	Dihydrofolate reductase	Q920D2	SINGLE PROTEIN	Rattus norvegicus	1404	2341
CHEMBL2364	10399	Hepatitis C virus NS4A protein	D2K2A8	SINGLE PROTEIN	Hepatitis C virus	3	3
CHEMBL2378	11922	Dual specificity phosphatase Cdc25C	P30307	SINGLE PROTEIN	Homo sapiens	198	241
CHEMBL2392	10206	DNA polymerase beta	P06746	SINGLE PROTEIN	Homo sapiens	23159	23572
CHEMBL2426	10262	Casein kinase I gamma 1	Q9HCP0	SINGLE PROTEIN	Homo sapiens	1346	2039
CHEMBL2441	10581	LDL-associated phospholipase A2	Q28017	SINGLE PROTEIN	Bos taurus	30	32
CHEMBL2479	10296	N-acetyllactosaminide alpha-1,3-galactosyltransferase	P23336	SINGLE PROTEIN	Mus musculus	3	6
CHEMBL2494	10971	CaM kinase IV	Q16566	SINGLE PROTEIN	Homo sapiens	933	1604
CHEMBL2519	10734	Neutral alpha-glucosidase AB	Q14697	SINGLE PROTEIN	Homo sapiens	28	90
CHEMBL2543	11629	Casein kinase I gamma 2	P78368	SINGLE PROTEIN	Homo sapiens	1406	2110
CHEMBL2555	10792	Thymidylate synthase	P0A884	SINGLE PROTEIN	Escherichia coli K-12	71	136
CHEMBL2575	10095	Dihydrofolate reductase	P00378	SINGLE PROTEIN	Gallus gallus	230	392
CHEMBL205	15	Carbonic anhydrase II	P00918	SINGLE PROTEIN	Homo sapiens	7078	12852
CHEMBL1808	69	Angiotensin-converting enzyme	P12821	SINGLE PROTEIN	Homo sapiens	898	1168
