CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL242	174	Estrogen receptor beta	Q92731	SINGLE PROTEIN	Homo sapiens	4362	7749
CHEMBL2808	11269	LXR-alpha	Q13133	SINGLE PROTEIN	Homo sapiens	998	2401
CHEMBL3021	12135	Estrogen receptor beta	Q62986	SINGLE PROTEIN	Rattus norvegicus	63	73
CHEMBL3072	12832	Androgen Receptor	P15207	SINGLE PROTEIN	Rattus norvegicus	1945	3491
CHEMBL3456	17049	Progesterone receptor	P06186	SINGLE PROTEIN	Oryctolagus cuniculus	198	449
CHEMBL4609	10119	Human immunodeficiency virus type 1 Tat protein	P04326	SINGLE PROTEIN	Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)(HIV-1)	71	75
CHEMBL4797	12753	Peroxisome proliferator-activated receptor gamma	O88275	SINGLE PROTEIN	Rattus norvegicus	32	35
CHEMBL5513	101215	Signal transducer and activator of transcription 5A	P42230	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL1293200	103647	Zn finger protein	Q43570	SINGLE PROTEIN	Nicotiana tabacum	22	22
CHEMBL1764943	104120	Steroidogenic factor 1	P33242	SINGLE PROTEIN	Mus musculus	4	16
CHEMBL3430879	109636	Retinoic acid receptor RXR-alpha/oxysterols receptor LXR-alpha	P19793, Q13133	PROTEIN COMPLEX	Homo sapiens	53	59
CHEMBL5461	100987	Zinc finger protein GLI1	P08151	SINGLE PROTEIN	Homo sapiens	73	128
CHEMBL3509582	109671	POU domain, class 2, transcription factor 2	P09086	SINGLE PROTEIN	Homo sapiens	5	21
CHEMBL3509601	109690	POU domain, class 2, transcription factor 1	P14859	SINGLE PROTEIN	Homo sapiens	1	3
CHEMBL3308901	109088	Nuclear receptor subfamily 4 group A member 1	P12813	SINGLE PROTEIN	Mus musculus	1	18
CHEMBL2189147	105477	Signal transducer and transcription activator 6	P52633	SINGLE PROTEIN	Mus musculus	9	15
CHEMBL2366589	106733	Ecdysone receptor	E5L6Y0, E5L6Y1	PROTEIN COMPLEX	Nezara viridula	7	29
CHEMBL3885529	117073	Bile acid receptor/Retinoic acid receptor RXR-alpha	P28700, Q60641	PROTEIN COMPLEX	Mus musculus	9	16
CHEMBL3885542	117086	Catenin beta-1/Transcription factor 7	P35222, P36402	PROTEIN-PROTEIN INTERACTION	Homo sapiens	1	1
CHEMBL3885612	117156	Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	P49116, Q15750	CHIMERIC PROTEIN	Homo sapiens	1	1
CHEMBL3885632	117176	Retinoic acid receptor RXR-alpha/Vitamin D3 receptor	P11473, P19793	PROTEIN COMPLEX	Homo sapiens	11	11
CHEMBL1947	271	Thyroid hormone receptor beta-1	P10828	SINGLE PROTEIN	Homo sapiens	6199	7754
CHEMBL2008	270	Retinoic acid receptor beta	P10826	SINGLE PROTEIN	Homo sapiens	567	1099
CHEMBL206	19	Estrogen receptor alpha	P03372	SINGLE PROTEIN	Homo sapiens	6088	11148
CHEMBL3251	11531	Nuclear factor NF-kappa-B p105 subunit	P19838	SINGLE PROTEIN	Homo sapiens	848	1447
CHEMBL2995	12244	Estrogen receptor beta	O08537	SINGLE PROTEIN	Mus musculus	34	37
CHEMBL4113	17023	Ecdysone receptor	O77240	SINGLE PROTEIN	Choristoneura fumiferana	18	36
CHEMBL4146	12414	Vitamin D3 receptor-interacting protein	Q9ULK4	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL4725	20016	Aryl hydrocarbon receptor	O02747	SINGLE PROTEIN	Oryctolagus cuniculus	25	25
