CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL2473	11744	Presenilin 1	P49768	SINGLE PROTEIN	Homo sapiens	134	266
CHEMBL1859	4	Voltage-gated T-type calcium channel alpha-1H subunit	O95180	SINGLE PROTEIN	Homo sapiens	1407	1497
CHEMBL296	11492	GABA receptor gamma-1 subunit	P23574	SINGLE PROTEIN	Rattus norvegicus	24	26
CHEMBL2853	12262	Inositol 1,4,5-trisphosphate receptor type 3	Q8WN95	SINGLE PROTEIN	Bos taurus	10	10
CHEMBL2919	12518	Glutamate receptor ionotropic kainate 1	P22756	SINGLE PROTEIN	Rattus norvegicus	192	269
CHEMBL2985	10178	Voltage-gated potassium channel subunit Kv7.2	Q9Z351	SINGLE PROTEIN	Mus musculus	53	95
CHEMBL3026	12757	GABA receptor alpha-3 subunit	P34903	SINGLE PROTEIN	Homo sapiens	61	90
CHEMBL300	11670	GABA receptor alpha-5 subunit	P19969	SINGLE PROTEIN	Rattus norvegicus	1	3
CHEMBL3805	10818	Voltage-gated L-type calcium channel alpha-1S subunit	Q13698	SINGLE PROTEIN	Homo sapiens	42	44
CHEMBL3312	10972	Sodium channel protein type IX alpha subunit	O08562	SINGLE PROTEIN	Rattus norvegicus	17	19
CHEMBL3503	12546	Glutamate receptor ionotropic, AMPA 2	P19491	SINGLE PROTEIN	Rattus norvegicus	116	205
CHEMBL3509	12605	Sodium channel protein type IV alpha subunit	P15390	SINGLE PROTEIN	Rattus norvegicus	35	40
CHEMBL3607	11762	Glutamate receptor ionotropic kainate 2	P42260	SINGLE PROTEIN	Rattus norvegicus	210	260
CHEMBL3708	10303	Presenilin 2	P49810	SINGLE PROTEIN	Homo sapiens	9	10
CHEMBL341	17065	GABA receptor alpha-2 subunit	P23576	SINGLE PROTEIN	Rattus norvegicus	74	83
CHEMBL4108	17110	Voltage-gated L-type calcium channel alpha-1S subunit	Q02485	SINGLE PROTEIN	Rattus norvegicus	36	40
CHEMBL4248	100110	Voltage-gated potassium channel subunit Kv1.3	P15384	SINGLE PROTEIN	Rattus norvegicus	2	2
CHEMBL4304	11839	Calcium-activated potassium channel subunit alpha-1	Q12791	SINGLE PROTEIN	Homo sapiens	309	393
CHEMBL4942	10205	P2X purinoceptor 5	Q93086	SINGLE PROTEIN	Homo sapiens	8	8
CHEMBL5965	101394	Aquaporin-4	P55088	SINGLE PROTEIN	Mus musculus	8	24
CHEMBL4169	100653	Voltage-gated L-type calcium channel alpha-1S subunit	P07293	SINGLE PROTEIN	Oryctolagus cuniculus	3	3
CHEMBL1250417	103531	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4	Q9Y3Q4	SINGLE PROTEIN	Homo sapiens	55	63
CHEMBL1681629	103922	Glutamate receptor delta-1 subunit	Q62640	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL1687682	103930	Voltage-dependent R-type calcium channel subunit alpha-1E	Q15878	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL1907588	104282	Acetylcholine receptor; alpha1/beta1/delta/gamma	P02708, P07510, P11230, Q07001	PROTEIN COMPLEX	Homo sapiens	298	499
CHEMBL1907589	104283	Neuronal acetylcholine receptor; alpha4/beta2	P17787, P43681	PROTEIN COMPLEX	Homo sapiens	1501	3457
CHEMBL2046267	104568	Anoctamin-1	Q5XXA6	SINGLE PROTEIN	Homo sapiens	30	30
CHEMBL1795171	104251	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1	O60741	SINGLE PROTEIN	Homo sapiens	35	35
CHEMBL1293243	103676	MCOLN3 protein	Q8TDD5	SINGLE PROTEIN	Homo sapiens	265	277
CHEMBL2094121	104703	GABA-A receptor; alpha-1/beta-3/gamma-2	P14867, P18507, P28472	PROTEIN COMPLEX	Homo sapiens	741	1250
CHEMBL2094124	104706	Glutamate [NMDA] receptor	O15399, O60391, Q05586, Q12879, Q13224, Q14957, Q8TCU5	PROTEIN COMPLEX GROUP	Homo sapiens	458	686
CHEMBL2109236	104897	Neuronal acetylcholine receptor; alpha2/beta2	P17787, Q15822	PROTEIN COMPLEX	Homo sapiens	18	18
CHEMBL2094130	104712	GABA-A receptor; alpha-2/beta-3/gamma-2	P18507, P28472, P47869	PROTEIN COMPLEX	Homo sapiens	614	930
CHEMBL1907593	104287	Neuronal acetylcholine receptor; alpha3/beta4	P04757, P12392	PROTEIN COMPLEX	Rattus norvegicus	586	1106
CHEMBL1907607	104301	GABA-A receptor; anion channel	O09028, P15431, P18506, P18508, P19969, P20236, P23574, P23576, P28471, P28473, P30191, P62813, P63079, P63138, Q91ZM7, Q9ES14	PROTEIN COMPLEX GROUP	Rattus norvegicus	2957	5007
CHEMBL3246	12235	Glycine receptor subunit alpha-1	P07727	SINGLE PROTEIN	Rattus norvegicus	25	60
CHEMBL2221348	105510	Voltage-gated potassium channel, KQT; KCNQ2(Kv7.2)/KCNQ3(Kv7.3)	O43525, O43526	PROTEIN COMPLEX	Homo sapiens	139	175
CHEMBL2364160	106139	Vesicle-associated membrane protein 2	P63027	SINGLE PROTEIN	Homo sapiens	0	0
CHEMBL3232694	108282	Acid-sensing ion channel 1	Q6NXK8	SINGLE PROTEIN	Mus musculus	1	2
CHEMBL3232696	108284	Acid-sensing ion channel 3	Q6X1Y6	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL3038462	107888	Nicotinic acetylcholine receptor alpha9/alpha10	P43144, Q9JLB5	PROTEIN COMPLEX	Rattus norvegicus	12	16
CHEMBL3119	11847	Transient receptor potential cation channel subfamily V member 4	Q9HBA0	SINGLE PROTEIN	Homo sapiens	364	450
CHEMBL2629	11733	Sodium channel protein type XI alpha subunit	O88457	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL3137272	108128	Nicotinic acetylcholine receptor alpha3/beta2/alpha5	P17787, P30532, P32297	PROTEIN COMPLEX	Homo sapiens	2	2
CHEMBL3137275	108131	Nicotinic acetylcholine receptor alpha6/alpha3/beta2/beta3	P04757, P12390, P12391, P43143	PROTEIN COMPLEX	Rattus norvegicus	11	18
CHEMBL2362984	105696	Voltage-sensitive sodium channel alpha-subunit	Q86DI9	SINGLE PROTEIN	Pediculus humanus	0	0
CHEMBL2384891	107594	Calcium release-activated calcium channel protein 1	Q96D31	SINGLE PROTEIN	Homo sapiens	36	68
CHEMBL2401608	107625	P2X purinoceptor 3	Q3UR32	SINGLE PROTEIN	Mus musculus	1	2
CHEMBL2366408	106552	Nicotinic acetylcholine receptor alpha 5 subunit	A9XFY4	SINGLE PROTEIN	Musca domestica	108	134
CHEMBL2366456	106600	Voltage-dependent L-type calcium channel subunit alpha-1C	O35505	SINGLE PROTEIN	Cavia porcellus	183	236
CHEMBL2366453	106597	Voltage-dependent calcium channel alpha-1 subunit	O18323	SINGLE PROTEIN	Blattella germanica	3	26
CHEMBL2366440	106584	Ryanodine receptor	I3VR33	SINGLE PROTEIN	Bemisia tabaci	14	15
CHEMBL2363017	105729	Potassium voltage-gated channel subfamily H member 3	Q9ULD8	SINGLE PROTEIN	Homo sapiens	109	111
