CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL2434	10773	Interleukin-8 receptor B	P25025	SINGLE PROTEIN	Homo sapiens	2049	3364
CHEMBL2446	10078	Corticotropin releasing factor receptor 1	P35347	SINGLE PROTEIN	Mus musculus	60	115
CHEMBL2488	10614	Prostanoid EP2 receptor	Q62053	SINGLE PROTEIN	Mus musculus	251	304
CHEMBL2497	10545	Purinergic receptor P2Y1	P49651	SINGLE PROTEIN	Rattus norvegicus	20	31
CHEMBL217	72	Dopamine D2 receptor	P14416	SINGLE PROTEIN	Homo sapiens	9325	16164
CHEMBL229	125	Alpha-1a adrenergic receptor	P35348	SINGLE PROTEIN	Homo sapiens	2159	3069
CHEMBL1850	220	Dopamine D5 receptor	P21918	SINGLE PROTEIN	Homo sapiens	617	805
CHEMBL1855	118	Gonadotropin-releasing hormone receptor	P30968	SINGLE PROTEIN	Homo sapiens	1478	2982
CHEMBL213	50	Beta-1 adrenergic receptor	P08588	SINGLE PROTEIN	Homo sapiens	2920	4630
CHEMBL1941	102	Histamine H2 receptor	P25021	SINGLE PROTEIN	Homo sapiens	1790	2936
CHEMBL1983	105	Serotonin 1d (5-HT1d) receptor	P28221	SINGLE PROTEIN	Homo sapiens	1586	2497
CHEMBL2032	158	Growth hormone-releasing hormone receptor	Q02643	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL2203	11061	Motilin receptor	O43193	SINGLE PROTEIN	Homo sapiens	310	480
CHEMBL3154	10983	Neurokinin 3 receptor	P16177	SINGLE PROTEIN	Rattus norvegicus	140	158
CHEMBL314	12216	Alpha-2c adrenergic receptor	P22086	SINGLE PROTEIN	Rattus norvegicus	9	9
CHEMBL2701	11007	Melanocortin receptor 5	P35345	SINGLE PROTEIN	Rattus norvegicus	1	3
CHEMBL2720	11528	Cholecystokinin B receptor	P79266	SINGLE PROTEIN	Bos taurus	35	35
CHEMBL2798	10466	Cholecystokinin A receptor	O08786	SINGLE PROTEIN	Mus musculus	79	90
CHEMBL2851	11036	Metabotropic glutamate receptor 2	P31421	SINGLE PROTEIN	Rattus norvegicus	631	1107
CHEMBL2861	17020	C5a anaphylatoxin chemotactic receptor	O70129	SINGLE PROTEIN	Cavia porcellus	6	6
CHEMBL2871	12824	Cholecystokinin A receptor	P30551	SINGLE PROTEIN	Rattus norvegicus	1363	1695
CHEMBL2955	11562	Sphingosine 1-phosphate receptor Edg-5	O95136	SINGLE PROTEIN	Homo sapiens	732	1053
CHEMBL2978	10113	Somatostatin receptor 2	P30680	SINGLE PROTEIN	Rattus norvegicus	155	158
CHEMBL3944	17076	Vasopressin V2 receptor	P32307	SINGLE PROTEIN	Sus scrofa	75	129
CHEMBL3947	17079	Adenosine A1 receptor	P34970	SINGLE PROTEIN	Oryctolagus cuniculus	18	38
CHEMBL3614	10527	Kappa opioid receptor	P34975	SINGLE PROTEIN	Rattus norvegicus	465	657
CHEMBL3707	10283	Beta-2 adrenergic receptor	P18762	SINGLE PROTEIN	Mus musculus	22	44
CHEMBL265	10304	Dopamine D1 receptor	P18901	SINGLE PROTEIN	Rattus norvegicus	1223	1877
CHEMBL3709	10308	Growth hormone-releasing hormone receptor	Q02644	SINGLE PROTEIN	Rattus norvegicus	155	214
CHEMBL3777	12956	Metabotropic glutamate receptor 7	Q14831	SINGLE PROTEIN	Homo sapiens	134	188
CHEMBL3993	10586	Platelet activating factor receptor	Q62035	SINGLE PROTEIN	Mus musculus	221	247
CHEMBL4069	10797	Corticotropin releasing factor receptor 2	Q13324	SINGLE PROTEIN	Homo sapiens	92	116
CHEMBL4655	10626	Serotonin 5a (5-HT5a) receptor	P35364	SINGLE PROTEIN	Rattus norvegicus	24	24
CHEMBL4714	10012	Pyrimidinergic receptor P2Y6	Q15077	SINGLE PROTEIN	Homo sapiens	377	545
CHEMBL4330	10015	Cysteinyl leukotriene receptor 2	Q9NS75	SINGLE PROTEIN	Homo sapiens	107	123
CHEMBL4383	100290	Gastric inhibitory polypeptide receptor	P48546	SINGLE PROTEIN	Homo sapiens	158	176
CHEMBL4397	11895	Somatostatin receptor 4	P49660	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL4423	100432	C-C chemokine receptor type 6	P51684	SINGLE PROTEIN	Homo sapiens	312	334
CHEMBL4427	12659	Prostanoid DP receptor	Q13258	SINGLE PROTEIN	Homo sapiens	962	1266
CHEMBL4429	10982	Neurokinin 3 receptor	P29371	SINGLE PROTEIN	Homo sapiens	1089	1667
CHEMBL4441	12825	C-X-C chemokine receptor type 3	P49682	SINGLE PROTEIN	Homo sapiens	1209	2029
CHEMBL4561	11336	Neuropeptide Y receptor type 5	Q15761	SINGLE PROTEIN	Homo sapiens	1357	1592
CHEMBL4573	11055	Metabotropic glutamate receptor 6	O15303	SINGLE PROTEIN	Homo sapiens	223	284
CHEMBL4613	10677	Bradykinin B1 receptor	P97583	SINGLE PROTEIN	Rattus norvegicus	70	77
CHEMBL4616	11536	Ghrelin receptor	Q92847	SINGLE PROTEIN	Homo sapiens	1963	4136
CHEMBL5105	10649	Muscarinic acetylcholine receptor M3	Q9ERZ3	SINGLE PROTEIN	Mus musculus	42	70
CHEMBL4755	100287	Calcitonin gene-related peptide type 1 receptor	Q63118	SINGLE PROTEIN	Rattus norvegicus	21	32
CHEMBL4877	10143	Neuropeptide Y receptor type 4	P50391	SINGLE PROTEIN	Homo sapiens	151	246
CHEMBL5001	101253	Gastric inhibitory polypeptide receptor	P43219	SINGLE PROTEIN	Rattus norvegicus	4	4
CHEMBL5200	100861	C-X-C chemokine receptor type 3	O88410	SINGLE PROTEIN	Mus musculus	82	85
CHEMBL5262	101132	Glucose-dependent insulinotropic receptor	Q7TQN8	SINGLE PROTEIN	Rattus norvegicus	132	266
CHEMBL5411	100859	Free fatty acid receptor 1	Q76JU9	SINGLE PROTEIN	Mus musculus	36	39
CHEMBL5413	100862	Metastin receptor	Q969F8	SINGLE PROTEIN	Homo sapiens	293	575
CHEMBL5450	10578	Serotonin 1d (5-HT1d) receptor	P28565	SINGLE PROTEIN	Rattus norvegicus	55	61
CHEMBL5471	101199	Beta-1 adrenergic receptor	B0FL73	SINGLE PROTEIN	Cavia porcellus	532	895
CHEMBL5492	100864	Nociceptin receptor	P47748	SINGLE PROTEIN	Cavia porcellus	36	64
CHEMBL1075071	102578	Muscarinic receptor 4	Q8VH25	SINGLE PROTEIN	Cavia porcellus	17	17
CHEMBL5781	101329	5-hydroxytryptamine receptor 2A	O46635	SINGLE PROTEIN	Canis lupus familiaris	19	30
CHEMBL5844	102687	Glucagon-like peptide 2 receptor	O95838	SINGLE PROTEIN	Homo sapiens	164	262
